Original,Translate_de_1,Translate_de_2
"Ancor mi fo romito, e pellegrino,","Außerdem werde ich ein Einsiedler und Pilger,",Außerdem werde ich einsam und wandernd.
"Cherico, e avocato e gustiziere,","Kleriker, Anwalt und Urteilsvollstrecker,","Der Priester, der Anwalt und der Richter haben das Gesetz durchgesetzt."
"E monaco, e calonaco, e bighino;","Mönch, Schuhmacher und Bettler;","Ein Ordensmann, ein Schuster und ein Bettler."
"E castellan mi fo, e forestiere,","Und ich mache mich zu Schlossern und Fremden,",Und ich halte mich sowohl für einen Einheimischen als auch für einen Fremden.
"E giovane alcun’ora, e vechio chino:","und jung manchmal, und alt gekrümmt:",Er ist von Zeit zu Zeit jung und ein gekrümmter Ältester.
"A brieve motti, i’ son d’ogni’ mestiere.","Kurz gesagt, ich bin aus jedem Beruf.",Zusammengefasst sind sie aus verschiedenen Berufen.
"Sì prendo poi, per seguir mia conpagna,","Also, um meiner Partnerin zu folgen,","Ich muss also einen guten Willen haben, um meine Partnerin zu begleiten, muss ich einen großen Wunsch zeigen."
"Cioè madona Costretta-Astinenza,","Frau Verengung-Assistenz,","Mit anderen Worten, Mrs. Conservation-Ableugation."
"Altri dighisamenti a sua voglenza,","Ich nehme andere Fasten nach seinem Willen,",Ich nehme nach eigenem Ermessen weitere Leerräume an.
"Perch’ella mi sollaza, e m’aconpagna;",denn sie tröstet mich und begleitet mich.,Denn Sie beruhigen mich und unterstützen mich.
E metto pena perch’ella rimagnia,"Und ich leide, weil sie sich freut.",und ich leide; denn sie freut sich.
"Comeco, perch’ell’è di gran sofrenza,","und weil er so leidend ist,",und warum es so schmerzhaft ist
"E s’amostra a•ttal gran benvoglienza,",und zeigt sich so bereit,und es zeigt sich so lieblich
Ch’ella vorebe che fosse in Ispagnia.,"Er möchte, dass ich in Spanien bin.","Er will, dass ich in Spanien bin."
"Ella si fa pinzochera, e badessa,","Sie pinzt und passt auf,",Sie benehmen sich wie eine burrige und autoritäre.
"E monaca, e rinchiusa, e serviziale,","und Nonne, eingesperrt, und dienstamtlich,","und liebevollElla ist eine Nonne, gefangen an einem abgelegenen Ort, hilfsbereit und liebevoll."
"E fassi sopriora, e prioressa.",Und übergeordnete Taten und Vorgesetzte.,Nehmen Sie eine vorherrschende und prominente Haltung ein.
Idio sa ben sed ell’è spiritale!,"Gott weiß, ob er geistig ist.","Gott weiß genau, ob er religiös ist."
"Altr’or si fa noviza, altr’or professa,","Manchmal ist sie Novizin, manchmal bekennt sie sich.","Manchmal hat sie sich neu erschaffen, manchmal Lehrerin."
"Ma, che che faccia, non pensa c’a male.","Aber was er tut, denkt nicht schlecht.","Aber was er tut, hat keine schädlichen Absichten."
Ancor sì no•mi par nulla travaglia,Außerdem scheint es mir gar nicht anstrengend zu sein.,Darüber hinaus scheint mir nichts schwierig zu sein.
"Gir per lo mondo, inn-ogne regione,",um die Regionen der Welt umzudrehen,Reisen durch das Land der Welt
E riciercar ognie religione;,und jede Religion zu suchen;,jeden Glauben zu erforschen und zu untersuchen.
"Ma della religion,   sa•nulla faglia,","aber der Religion, ich mache keinen Fehler,","Aber was den Glauben betrifft, so mache ich keinen Fehler."
"I’ lascio il grano, e prendone la paglia,","Ich verlasse den Weizen und nehme das Stroh,",Ich verlasse den Weizen und lege die Schale hin.
"Ch’i’ non vo’ che•ll’abito a lor fazone,","Weil ich nicht will, dass das Kleid modisch ist,","Ich wähle es außerhalb der Saison, weil ich nicht will, dass das Kleid trendig ist, ich nehme es aus der Zeit."
E predicar dolze predicazione:,und predigen süße Predigten:,Mythische Reden vortragen
Con questi due argomenti il mondo abaglia.,Mit diesen beiden Argumenten täusche ich die Welt.,Mit diesen beiden Anspielungen locken wir den Globus.
"Così vo io mutando e suono, e verso,",So ändere ich Ton und Ton,Auf diese Weise schulde ich mein Register und meine Leitung.
"E diciendo parole humili e piane,","und ich sage demütige und einfache Worte,",Ich lege demütig einfache Worte vor
Ma molt’è il fatto mio a•dir diverso:,Aber viel ist mein anderes Verhalten:,Aber meine Einstellung ist sehr unterschiedlich.
"Ché tutti que’, c’ogi manucar pane,","denn alle, die heute an Brot fehlen,","Weil alle, die heute ohne Nahrung sind."
"No•mi terian ch’i’ non gisse traverso,","Sie würden mich sehen, als wäre ich kein Betrüger.","Sie würden sehen, dass ich kein Betrüger bin."
Ch’i’ ne son ghiotto più che d’unto il cane».,Denn ich bin mehr glitzernd als der Hund.,Weil ich hungriger bin als der Hund.
Falso-Senbiante si volle sofrire,Falsch-Schauspieler wollte leiden,Falso-Sambant hatte gesehnt zu leiden
"Sanza dir  de suo’ fatti più in avante,","ohne über seine Taten nach vorn zu sprechen,","Wir können sie nicht beurteilen, ohne ihre vergangenen Taten zu betrachten, wir können sie nicht beurteilen."
Ma ’l Die d’Amor non fecie pa senbiante,aber der Gott der Liebe hat kein Zeichen gegeben.,aber die Göttlichkeit des Wirkens hat keinen Hinweis gegeben
"Ched e’ fosse anoiato dell’udire,","daß er langweilig war von dem Hören,",daß er vom Hören erdrückt werde
"Anzi gli disse, per lui ringioire:","Er sagte zu ihm, um ihn zu bereuen:","Er sagte zu ihm, um ihn zur Reue zu verleiten:"
"«E’ convien al postutto, Falsenbiante,","""Es ist notwendig, Falsosembient,","""Es ist unerlässlich, Falsosembiante, dass du das Beste machst."
"C’ognie tua tradigion tu sì•cci cante,",daß du all deinen Verrat bekennst,daß du alle deine Verräter verkündigest
Sì ch’e’ non vi rimanga nulla a dire.,Damit nichts mehr zu sagen bleibt.,"Damit es nicht mehr möglich ist, etwas hinzuzufügen,"
"Ché•ttu mi pari un uon di Giesocristo,","Denn du siehst aus wie ein Mann von Jesus Christus,",Weil du für mich wie ein Mann Gottes aussiehst.
E ’l portamento fai di santo hermito».,und mache das Gemüt eines heiligen Einsiedlers.,Unterstütze heiliges und asketisches Verhalten.
"«Egli è ben vero, ma i’ sono ipocristo».","""Das stimmt, aber ich bin ein Heuchler.""","""Es steht außer Frage, aber ich bin ein Simulator."""
«Predicar astinenza i’ t’ò udito».,"""Ich hörte, dass du Abstinenz predigtest.""","Ich hörte, du hast den Temperament gepredigt."
"«Ver è, ma, per ch’i’ faccia il viso tristo,","""Das ist wahr, aber um mich traurig aussehen zu lassen,","Es ist nicht fair""Es ist richtig, aber um mich melancholisch aussehen zu lassen, ist es nicht fair."
I’ son di buon’ morselli dentro farsito.,"Ich bin mit guten Bissen satt.""",Ich bin zufrieden mit leckeren Bissen.
"Di buon’ morselli i’ sì m’enpio la pancia,",Ich fülle mir den Bauch mit guten Bissen.,Ich bin mit leckeren Maniküren satt.
"E, s’e’ si truova al mondo di buon vino,","Und wenn es einen guten Wein in dieser Welt gibt,","Dann gibt es auch einen schlechten Wein, wenn es Qualitätswein in dieser Welt gibt, dann wird es auch eine schlechte Qualität geben."
"E’ convien ch’i’ me ne enpia lo bolino,",Sie müssen mir das Glas füllen.,"Es ist wichtig, dass ich es wieder fülle."
"Ad ag’io   vo’ star più che ’l re di Francia,","Ich will besser leben als der König von Frankreich,",Ich wünsche mir ein besseres Leben als der französische Herrscher.
Ché gli altru’ fatti so’ tutti una ciancia,Denn die anderen Fakten sind nur Gequatsche.,Weil die anderen Fakten nur leere Reden sind
"Verso de’ mie’, ch’e’ son mastro divino,","im Vergleich zu meinen, die göttlich sind,","und deine sind köstlich über meine, die erhaben sind, und deine sind köstlich."
"E le cose sacrete m’indovino,","Und die heiligen Dinge kann ich raten,","Und ich weiß, was heilig ist."
E tutto ’l mondo peso   a mia bilancia.,und die ganze Welt Gewicht auf meine Waage.,Und die ganze Welt litt auf meiner Leiter.
"Ancor vo’ da le gienti tal vantagio,","Außerdem will ich den Vorteil haben, dass die Leute...","Darüber hinaus wünsche ich mir, daß die anderen von uns profitieren."
"Ch’i’ vo’ riprender, sanz’esser ripreso,","die ich nehmen will, ohne wieder aufgenommen zu werden,","die ich erwerben möchte, ohne getadelt zu werden"
"Ed è ben dritto, ch’i’ sono ’l più sagio,","und es ist richtig, dass ich der weiseste bin,","Und es ist passend, dass ich der weiseste bin."
"S’i’ porto tuttor sotto l’arco teso,","Wenn ich immer auf den Bogen schieße,","Am Ende werde ich glücklich sein, immer den Bogen zu halten, am Ende werde ich Glück haben."
"Per dar a quel cotal male e damagio,","um diejenigen zu verursachen, die mich belästigen","denen, die mich belästigen,"
Che ’n gastigar vi stesse punto inteso».,"eine angemessene Strafe, ohne bestraft zu werden.""",eine angemessene Sanktion ohne Folgen
"«Tu sì va’ predicando povertate,","""Du gehst, indem du die Armut predigst,","Aber du bist selbst reich""Du gehst, indem du Armut propagierst, aber du bist selbst Umwelt."
"E lodila». «Ver è, ad uopo altrui,","Und du lobst sie"" ""Es ist wahr, für die anderen,","Seine Geschicklichkeit verdient Lob. ""Es ist eindeutig, für die anderen, seine Geschicklichkeit erfordert Lob."""
"Ch’i’ non son già su’ amico, né ma’ fui,","Aber ich bin nicht schon sein Freund, noch war ich jemals,",Aber ich war noch nie sein Freund.
Anzi le porto crudel nimistate:,Ich bringe ihr eine grausame Feindseligkeit mit:,Aber ich opfere ihr eine böse Feindschaft.
Ch’i’ amerei assa’ meglio l’amistate,Lieber als Freundschaft.,"Ich wünschte, ich hätte Liebe"
"Del re di Francia, che quella a colui,","des Königs von Frankreich, die zu ihm","des Monarchen von Frankreich, die zu ihm"
"Che va caendo per l’uscial altrui,","Er fällt durch die Türe der anderen,",Er fährt von den Resten weg.
"E muor sovente di neciessitate,","und oft an Notwendigkeit stirbt,",und oft aus Not stirbt.
"E ben avess’egli anima di santo,","Und selbst wenn er die Seele eines Heiligen hätte,","Er mochte es nicht, auch wenn er die Unschuld eines Heiligen hatte, sondern er mochte es nicht."
"Il pover no•mi piaci’, e sua conteza,","Der Arme gefällt mir nicht, und sein Zustand,","Ich mag den elenden Mann nicht, und seine Situation."
"E più, ch’i’ posso, i’ ’l metto da l’un canto;","und ich lege ihn so weit zurück, wie ich kann;","Und so viel ich kann, behalte ich es."
"E se d’amor gli mostro, si è finteza,","Und wenn ich ihm Liebe zeige, dann ist es Fiktion,","Und wenn ich ihm Zuneigung zeige, ist es Simulation."
Ma convien ch’i’ mi cuopra di quel manto:,"Aber es kommt vor, daß ich mich mit diesem Mantel bedecke:","Es ist ratsam, dass ich mich mit diesem Kleidungsstück umwickle."
"Per mostrar ch’i’ sia buon, lor fo careza.","Um zu beweisen, dass ich gut bin, passe ich auf sie auf.","um meine Güte zu bezeugen, sorge ich für sie."
E quand’io vego igniudi que’ truanti,"Und wenn ich diese nackten Bettler sehe,","Ich empfinde Mitgefühl, wenn ich diese armen Menschen ohne Kleidung ansehe, spüre ich aufrichtiges Mitleid."
"Su’ monti del litame star tremando,","Erzittern auf den Dungbergen,",Ich zitterte auf den Dunghöhen.
"Che fredo e fame gli fa sì acorando,",und leiden so viel von Kälte und Hunger,und erleidet tief von Frost und Hungersnot
"Ch’e’ non posson pregiar né Die, né santi,","die weder Gott noch die Heiligen beten können,",die weder Gott noch die Heiligen anrufen können.
"E ’l più, ch’i’ posso, lor fugo davanti","und so viel ich kann, vor ihnen fliehe ich,","Und so weit ich kann, fliehe ich vor ihnen."
Sanza girne nessun riconfortando.,ohne irgendeinen von ihnen zu trösten;,Ohne sie zu trösten.
"Anzi lor dico: “Al Diavol v’acomando,","Ich sage ihnen: ""Ich vertraue euch dem Teufel an.","Ich sage ihnen: ""Ich gebe euch dem Teufel!"""
"Con tutti que’, che non àn de’ bisanti”.","mit allen, die kein Geld haben.""","mit all denen, die kein Geld haben."
Ché•lla lor conpressione è freda e secca,"Denn ihre Armut ist kalt und trocken,","Ihre Hoffnung ist lebendig Denn ihr Elend ist steif und trocken, ihr Vertrauen ist inbrünstig."
"Sì ch’i’ non so, ch’i’ di lor trar potesse.","Ich weiß nicht, ob ich davon profitieren könnte.","Ich weiß nicht, ob ich davon profitieren kann."
"Or che dir a colui, che ’l coltel lecca?","Was sagt jemand, der ein Messer leckt?","Was flüstern Sie mit jemandem, der eine Klinge leckt?"
"Di gran follia, credo, m’intramettesse","Ich denke, das wäre verrückt.","Ich glaube, das wäre ein Riesendummkopf."
"Voler insegniar vender frutta a trecha,","lehren, marschierende Früchte zu verkaufen","wollen lehren, verdorbene Früchte zu verkaufen"
O ch’i’ a•letto del cane unto chiedesse.,oder fragen Sie das Öl des gesalbten Hundes.,die Hilfe des öligen Hundes zu fordern.
"Ma, quand’i’ truovo un ben ricco usuraio","Aber wenn ich einen reichen Wucherer finde,",Aber wenn ich einen Habgierigen von wohlhabenden Interessen finde
"Infermo, vo ’l sovente a vicitare,","Patient, ich gehe oft zu ihm.",Leider besuche ich ihn oft.
Chéd i’ ne credo danari aportare,"Denn ich glaube, ich bringe ihm Geld,","Weil ich glaube, ihm Geld zu geben."
"Non con giomelle, anzi a colmo staio.","Nicht mit Gingills, sondern im Überfluss.","Nicht mit Luxusobjekten, sondern in großen Mengen."
"E, quando posso, e’ non riman danaio","Und wenn ich kann, verlasse ich seine Familie nicht ohne Geld.","Wenn ich kann, verlasse ich seine Familie nicht ohne Finanzen."
"A•ssua famiglia, ond’e’ possa ingrassare.","für seine Familie, mit der sie fett werden können.","Für seine Familie, mit der sie reich werden können."
"Quand’egli è morto, i’ ’l convio a sotterare","Als er starb, schicke ich ihn zum Begräbnis.","Als er starb, töteten sie ihn."
"Po’ torno, e sto più ad agio che Gienaio.",Dann komme ich zurück und bin entspannter als im Januar.,Dann kehre ich zurück und bin ruhiger als im Januar.
"E sed i’ sono da nessun biasmato,","Und wenn mir niemand die Schuld gibt,","Ich bin nicht schuldig, und wenn ich nicht getadelt werde, bin ich unschuldig."
"Perch’io il pover lascio, e ’l rico stringo,","denn ich verlasse die Armen und drücke die Reichen,",Weil ich die Bedürftigen verlasse und die Wohlhabenden näher komme.
"Intender fo che ’l ricco à più peccato,","Ich verstehe, dass der Reiche mehr gesündigt hat,","Ich verstehe, daß der Wohlhabende mehr Übertretungen begangen hat."
"E perciò sì ’l conforto e sì ’l consiglio,","und darum tröstete ich ihn und rate ihm,","Ich ermutige ihn und schlage ihm vor,"
"Insin ch’e’ d’ognie ben s’è spodestato,","bis er alles loswerden kann,","Er kann nicht frei sein, solange er sich von allen Besitztümern befreit hat, wird er nicht in der Lage sein, die Freiheit zu erlangen."
"E dato   à me, che ’n paradiso il pingo.","Und geben Sie es mir, damit er es im Himmel malt.","Und du schenkst es mir, damit er es als einen Ort des Glücks ansieht."
Io dico che ’n sì grande dannazione,"Ich sage, die Seele geht in eine große Verdammnis","Ich behaupte, dass das Wesen in einer großen Buße liegt."
"Va l’anima per grande povertade,",durch große Armut geht die Seele,durch tiefe Armut geht die Seele
"Come per gran ricceza, in veritade;","wie zum großen Reichtum, wahrlich;","Wie durch große Macht, in der Tat."
"E ciaschedun dé aver questa ’ntenzione,","und jeder sollte diese Absicht haben,",Und jeder sollte diesen Wunsch haben.
Ché ’n un su’ dicie Salamone:,Denn Salomo sagt in seinem Sprichwort:,Weil Salomo in einem seiner Sprüche sagt:
"“Guardami, Idio, per la Tua gran pietade","""Sieh mich an, Gott, für Deine große Gnade","""Zeige dich, Herr, für Deine große Barmherzigkeit."
"Di gran richeza, e di mendichitade;",des großen Reichtums und der Mendizität;,von großer Fülle und von Not.
"E dàmi del Tu’ ben sol per ragione,","Und gib mir dein Wohl nur aus gutem Grund,",und gib mir deine Gunst nur aus Gründen
"Ché que’, c’à gran richeza, si oblia","Denn die großen Reichtum haben, vergessen sie.","oft, daß sie arm waren; denn diejenigen, die große Fülle haben, vergessen oft, daß sie arm waren."
"Que’, che ’l criò, per lo su’ gran riccore,","Derjenige, der sie erschaffen hat, wegen ihres Wunsches nach Reichtum,","Derjenige, der sie gebaut hat, hat wegen ihres Strebens nach Fülle beschlossen, sie zu zerstören."
Di che l’anima mette in mala via.,Und sie setzen ihre Seele auf einen schlechten Weg.,und sie führen sich auf einen falschen Weg.
"Colui, cui Povertà tien in dolore,","Der, der die Armut in Trauer hält,","Der, der das Elend quält."
"Convien che•ssia ladrone,   o muor d’envia,",Er muss ein Dieb werden oder vor Neid sterben.,Er muss ein Schurke werden oder vor Eifersucht sterben.
"O serà falsonier, o mentitore”.","oder ein Lügner oder ein Lügner""",oder ein Lügner oder Fälscher sein
Ancor sì non comanda la Scrittura,"Noch, das Schreiben nicht befiehlt","Noch einmal, die Redaktion dominiert nicht"
"Che possent’uon di corpo chegia pane,","ein Mann mit einem gesunden Körper, um Brot zu betteln",ein Individuum mit einer kräftigen körperlichen Form beten um Nahrung
Né che si metta a viver d’altru’ ane:,und dass er von den Gütern anderer lebt:,"auch nicht, daß er von den Reichtümern anderer ertrage."
"Questo non piacie a Dio, né non n’à cura,","Das gefällt Gott nicht und kümmert sich nicht um ihn,",Das gefällt Gott nicht und ist ihm gleichgültig.
"Né non vuol, che•ll’uon faccia sale, o mura,","Er will auch nicht, dass jemand Salz oder Mauern baut,","Er will auch nicht, dass jemand Salz oder Zaun baut."
"De le limosine alle gient’istrane,","mit den Almosen der Fremden,","Er konnte mit den Angeboten der Nicht-Familienmitglieder überleben, er konnte ausharren."
"Ma vuol c’uon le diparta a giente humane,","Aber er will, dass sie sich an Menschen verteilen.","Aber er will, dass sie an Menschen weitergegeben werden."
Di cui forza e santade à gran paura.,deren Stärke und Gesundheit ihm Sorgen bereiten.,Seine Stärke und sein Wohlbefinden machen ihn besorgt.
"E sì difendea buono Giustiziano,","Und so beschützte er den guten Jude,",Und so bewahrte er den tugendhaften Richter.
E questo fecie scriver nella Legie:,Und er ließ dies in das Gesetz schreiben:,"Und er gebot, dies im Gesetz zu schreiben."
"Che nesun dia limosina a huon sano,",dass niemand einen gesunden Menschen bettelt,Dass niemand Subventionen an einen gesunden Menschen auszahlt.
"Che truovi a guadagniare, e•ttu t’avegi","der in der Lage ist zu verdienen, und du selbst siehst","die in der Lage ist, sich zu beschaffen, und Sie selbst feststellen,"
Ch’a lavorare e’ non vuol metter mano;,der nicht an der Arbeit arbeiten will;,Sie wollen sich nicht an der Arbeit beteiligen.
"Ma vuol che•ttu ’l gastighi, e cacci, e fegi.","Aber er will, dass du ihn züchtigst und rausschmeißt.","Aber er will, dass du ihn bestrafst, und ich befehle ihm, zu gehen und ihn zu verpflichten."
"Chi di cota’ limosine è ’ngrassato,","Wer mit diesen Almosen gemästet hat,","Jetzt bezahlt er die Konsequenzen. Wer sich von diesen Subventionen verschanzt hat, muss nun mit den Folgen fertig werden."
"In paradiso non dé atender pregio,",Erwartet keine Belohnung im Paradies;,Hofft nicht auf eine himmlische Befriedigung.
"Anzi vi dé atender gran dispregio,","sondern er muß eine große Verachtung erwarten,","Aber er muss sich fürchten, dass er verabscheuungswürdig ist."
Almen s’e’ non è privilegiato;,"zumindest dann, wenn sie nicht bevorzugt wird;","zumindest, wenn es nicht begünstigt wird"
"E s’alcun n’è, sì n’è fatto, ingannato","Und wenn jemand es ist, wurde er getäuscht","Wenn jemand getäuscht wurde, dann soll es so sein."
"È ’l Papa, che li dié il su’ Colegio,","vom Papst, der ihm sein Privileg gegeben hat,","von der päpstlichen Autorität, die ihm sein Privileg gewährt hat"
Ché dar non credo doveria privilegio,"denn ich glaube nicht, dass Sie Privilegien geben sollten","weil ich nicht glaube, dass Sie Vorteile geben sollten"
C’uon sano e forte gisse mendicato: ,"einer gesunden und starken Person, die von Almosen lebt.","Auf jemanden, der stark und kräftig ist, der eine Wohltätigkeitskarriere hat."
"Ché•lle limosine, che sono donate","Warum die Almosen, die gespendet werden",?Warum werden Almosen angeboten?
"A’ vechi, o magagniati san’ posanza,","Alte oder gewaltlose Kranke,","Freundlichkeit ist eine große Medizin für alte oder schwache Kranke, Güte ist eine große Heilung"
"A chui la morte seria gran santate,","für die der Tod ein großer Segen wäre,",Für die der Tod eine große Gnade wäre.
"Colui, che•lle manuca, i’ l’ò ’n gravanza:","Der, der sie benutzt, halte ich für eine Bürde:","Wer sie benutzt, hält sie für eine Belastung."
Elle gli fieno ancor ben pagate.,Sie werden immer noch gut bezahlt.,Sie werden immer noch gut bezahlt.
Di questo non bisognia aver dottanza.,Das braucht man nicht zu wissen.,Das erfordert keine Vertrautheit.
"Tanto quanto Gesù andò per terra,","So sehr, wie Jesus auf der Erde wandelte,","Wir können im Licht wandeln, solange Jesus sich auf der Erde bewegt, können wir in der Helligkeit vorankommen."
I suo’ disciepoli e’ non dimandaro,fragten seine Jünger nicht,mehr seine Nachfolger befragten nicht weiter
"Né pane, né vino, anzi il guadagniaro","Weder Brot noch Wein, sondern sie haben gewonnen.","Und sie ließen sich nicht ernähren noch tranken sie nicht, sondern wurden rühmlich."
"Co•le lor man, se•llo non erra.","mit ihren Händen, ohne Fehler.","Mit ihren Händen, ohne Fehler."
"Co’ buon’ mastri divin’ ne feci guerra,",Ich habe gegen die guten göttlichen Meister gekämpft.,Ich habe gegen die weisen göttlichen Lehrer gekämpft.
Perch’e’ questo sermone predicaro,weil sie diese Lehre predigten,weil sie diese Lektion verkündigten
"Al popolo a Parigi, e sì ’l provaro",dem Volk in Paris und bezeugten es,den Bürgern von Paris und bezeugten es
"C’uon, ch’è truante, col Diavol s’aferra.","dass jemand, der von Almosen lebt, sich mit dem Teufel verbindet.","Wer von Nächstenliebe lebt, verbündet sich mit dem Teufel."
"Ancor, po’ che Giesù si tornò in cielo,","Nachdem Jesus in den Himmel zurückgekehrt war,","Nachdem Jesus in den Himmel aufgefahren war,"
San Paolo predicava i conpagnioni,Der heilige Paulus predigte seinen Gefährten,Paulus ermahnte seine Freunde
"Ched e’ sì non vendeser lo,","daß sie nichts verkauften,",Sie boten keine Waren an.
"Sì ch’e’ di grazia fecier lor sermoni,","damit ihre Reden gnädig waren,",so dass ihre Reden angenehm waren.
"Di lor lavor vivieno, già no ’l vi cielo,","Sie lebten von ihrer Arbeit, ohne etwas vom Himmel zu erwarten,","Sie lebten von ihrem Werk, ohne etwas von oben zu erwarten."
"Sanza fondar castella, né magioni.",ohne Burgen oder große Häuser zu bauen.,ohne große Häupter oder Wohnstätten zu bauen.
"Ver è ch’e’ ci à persone ispeziali,","Es stimmt, dass es besondere Leute gibt,","Aber wir alle sind einzigartigEs ist wahr, dass es außergewöhnliche Menschen gibt, aber wir sind alle einzigartig."
"Che van cherendo lor vita per Dio,","die ihr Leben für Gott leben,",die ihre Existenz für Gott leben
Per ch’i’   vi dico ben c’al parer mio,"Deshalb sage ich Ihnen, dass meiner Meinung nach","Deshalb sage ich Ihnen, dass ich es für richtig halte."
Egli è mercié far   bene a que’ cotali.,"Es ist lohnend, diesen Menschen Gutes zu tun.","Es ist lobenswert, diesen Menschen einen Dienst anzubieten."
"Di questi sono alquanti bestiali,",Davon sind sie ziemlich unwissend.,Davon sind sie ziemlich unkultiviert.
"Che non ànno iscienza in lavorio,","und sie haben keine Kenntnis von der Arbeit,",und sie haben keine Kenntnis von der Aufgabe.
"Ed altri v’à, che l’ànno, ma è rio","und andere, die es haben, aber es ist","Andere besitzen sie, aber sie ist kostbar."
"Il tenpo, e lor guadagni sì son frali.",Die Zeit und ihr Gewinn sind fragil.,Ihr Reichtum und ihre Zeit sind vergänglich.
"À ’ncor di gientil giente discacciata,",Immer noch nette Leute wurden gejagt.,Immer noch nette Menschen wurden entfernt
"Che non son costumati a lavorare,","die nicht gewohnt sind zu arbeiten,",die nicht mit der Arbeit vertraut sind
Ma son viuti sol di lor entrata.,Nur mit ihrem Einkommen zu leben.,nur mit eigenen Einkünften zu existieren.
"A cota’   gienti dé ciascun donare,","Diesen Leuten ist es gerecht, zu spenden,",Diesen Menschen ist es zu gewähren.
Ché lor limosina è bene inpiegata:,weil ihr Almosen gut ausgegeben ist:,Denn ihre Liebe ist angetan.
Si è mercié atarli   governare.,"Es ist richtig, sie zu regieren.","Es ist richtig, sie zu verwalten."
"Ad alcun altro, che•ffa lavoraggio,","Jemand anders, der arbeitet","Irgendjemand anders, der die Arbeit ausführt"
"Ma ben sua vita trar non ne poria,",aber sie konnten nicht allein überleben;,"Sie waren jedoch nicht in der Lage, selbständig zu bestehen."
"Sì gli consente Idio ben truandia,","Gott erlaubt ihnen, von Almosen zu leben,","Gott erlaubt ihnen, von der Nächstenliebe zu leben."
"Per quel, che gli falliscie al su’ managio;","wegen dessen, was ihm zum Leben fehlt;",wegen seines Mangels an Lebensunterhalt.
"Od altro povero, c’avesse   coragio","oder für andere Arme, die den Mut haben","für andere Elende, die kühn sind"
"Di volere studiar   in chericia,","im Klerikat studieren zu wollen,",um ein Seminar zu besuchen.
Gran mercied’è a farli cortesia,ist eine große Nächstenliebe ihnen zu helfen,"Es ist eine große Güte, ihnen beizustehen"
Insin ch’e’ sia   de la scienza sagio;,bis sie weise in der Erkenntnis werden;,bis sie Weisheit in Weisheit erlangen.
E se ’n cavalleria   alcun volesse,und wenn jemand die Kavallerie wollte,und wenn jemand Heldentum will
"Intender per la fede asealzare,",bis er gut reiten und Waffen haben konnte.,"geeignet, bis er in der Lage war, geschickt zu reiten und über die entsprechenden Waffen verfügen"
"Non falleria   già, sed e’ chiedesse","Er würde nicht unrecht haben zu betteln,","Es wäre nicht falsch, zu betteln."
"Infin ch’e’ sé potesse   ben montare,","bis er akkumulieren konnte,","bis Sie die Möglichkeit hatten, zu akkumulieren"
E avere spezieria   ch’e’ potesse,"und haben Sie das notwendige Kapital, mit dem",Finanzierung und Bereitstellung der für die Finanzierung erforderlichen Mittel
Conduciersi nella terra d’oltremare».,ins Überseeland wandern,Erkunden Sie im Überseeland
"«Dì, Falsenbiante, in che maniera puote","Sag, Falsenbiante, wie er kann","Was ist der Weg, das zu tun, Falsenbian?"
"Seguire Idio chi à tutto venduto,","Gott folgen, der alles verkauft hat","den, der sich dem Willen Gottes anpaßte, der alles gab, was er besaß."
"Ed àllo tutto a’ pover’ dispenduto,",und hat alles für die Armen ausgegeben,und zerstreute alles für die Unannehmlichen
"E le sue borse son rimase vote,","und ihre Taschen sind leer geblieben,",und ihre Taschen waren inhaltslos.
"Ed è forte, e possente, e à grosse gote?",Und er ist stark und mächtig und mit großen Wangen?,"Und er ist kräftig und stark, und hat er prominente Wangen?"
Gli sarebe per dritto concieduto,"Er hätte das Recht, es ihm zu überlassen.",Er hätte es zu seinem Recht tun sollen.
"C’a trar sua vita domandasse aiuto,","um Hilfe zu bitten, um sein Leben aufzurichten,","Ich bitte um Unterstützung, um seine Existenz zu heben."
"Come quest’altri, che•ttu or mi note?».","Wie die anderen, die du mir jetzt gezeigt hast?","Wie die anderen, die du mir gezeigt hast?"
«Dico di no: che se Dio fe’ comando,"""Ich sage nein: Wenn Gott das Gebot gegeben hat",", dann können wir nicht ungehorsam sein.Ich lehne ab: Wenn Gott den Befehl erteilt hat, dann können wir nicht übertreten."
"C’on desse tutto a’ poveri, e po’ ’L sieva,",alles den Armen zu geben und dann zu säen,"verteilen Sie alles an die am wenigsten wohlhabenden, und dann streuen"
"La Sua ’ntenzion non fu in truandando,","Es war nicht seine Absicht zu stehlen,","aber zu nehmen Seine Absicht war nicht zu subtrahieren, sondern zu erwerben"
"E questo intendimento ti ne lieva,","Und diese Absicht befreit dich,",Und dieses Streben emanzipiert dich
"Ma con buon’opere tuttor lavorando,","aber mit guten Taten, die immer wirken,",mit guten Werken ständig
C’uon forte in truandar l’anima grieva.,"Man vermeidet es, seine Seele durch Diebstahl zu belasten.","Man vermeidet es, seine Seele mit Diebstahl zu quälen."
"Ancor una crudel costuma abiamo,",Wir haben immer noch einen grausamen Brauch:,Wir ermuntern immer noch eine brutale Tradition.
Contra cui no’ prendiamo   la nimistade:,gegen die wir keine Feindseligkeit haben:,Gegen die wir keine Feindschaft manifestieren.
"Quanti no’ siamo,   in buona veritade,","Wie viele sind wir, wahrlich,",Wie viele sind wir eigentlich?
In difamarlo noi ci asottigliamo;,Wir verleumden uns.,Wir verachten es.
