Original,Translate_en_1,Translate_en_2
"Od i’ farò almen ch’e’ fien murati,","Or at least I'll have them walled up,",Or at least I'll have them imprisoned.
"O darò lor sì dure   penitenze,","Or I will give them such severe penances,","that I will repent from them so severe pain, that they will regret the consequences."
Che me’ lor fora ch’e’ non fosser nati.,"""That I would have been better off if they were never born","""That it would have been more appropriate for me if they had never come to light."
"A Prato, ed a Arezo, e a Firenze","In Prato, Arezzo and Florence","In Prato, Arezzo and Florence, there are three major cities in Tuscany."
N’ò io distrutti molti e iscacciati:,I have destroyed and cast out many of them;,I have annihilated and driven away many.
"Dolente è que’, che cade a mie sentenze».","sorrowful is he who falls under my judgments.""",Awful is he that falleth under my judgments.
"«Dì, Falsenbiante, per gran cortesia,","""Say, Falsenbiante, please,","What do you want?""Exclaim, Supplicant, please, what do you want?"
"Po’ ch’i’ t’ò ritenuto di mia giente,",For I have kept thee from my people.,For I have kept thee among my people.
"E ò•tti fatto don sì bel’e giente,","And I gave you a gift from such a beautiful people,",And I gave you a gift from such a beautiful people.
"Che•ttu sè Re della baratteria,","that you are the king of fraud,",that you are the ruler of deception.
"Afideròmi in te, o è follia?","Am I gonna trust you, or is this crazy?","I'm gonna lean on you, or is that crazy?"
"Fa che•ttu me ne facci conosciente,",Let me meet you.,Make sure you make me understand.
"Chéd i’ sarei doman troppo dolente,","because tomorrow I'd be too sad,","I decide to go to bed because tomorrow I would be too afflicted, I decide to retire"
Se•ttu pensassi a farmi villania».,"if you think you're gonna hurt me.""",If you reason to do me harm
"«Per Dio merzé, messer, non vi dottate,","""By God rewards, do not doubt,","For I have not failed""By divine clemency, no doubt ye have no doubt, for I have not erred."
"Chéd i’ vi do la fé, tal com’i’ porto,","that I give you my word, as I carry it,","I promise you, as I keep it."
Ched i’ vi terrò pura lealtate».,"that I will keep your faithfulness pure.""",that I will show you unconditional loyalty
"«Allor», sì disse Amor, «ogniò si’  acorto","""Then,"" said Love, ""everyone arms themselves.","of patience""So, he affirmed Love, ""everyone is endowed with tolerance."""
"D’armarsi con su’ arme devisate,",to arm himself with his special weapons,Equipped with his own unique weapons.
"E vadasi al castel, che•ssì m’à morto».","and go to the castle that killed me.""",and come to the manor that overwhelmed me
A l’armadure ciaschedun si prese:,Everyone took his own armor;,Each took on his own armor.
E’ sì s’armar co•molto gran valore,They armed themselves with great value,They equipped themselves with great courage
"Per dar a Gielosia pene e dolore,",To give Jealousy penis and pain,To inflict to Jealousy suffering and torment
Se contra lor stesse alle difese;,if they defend themselves against themselves;,If they protect themselves.
"Ed alcun prese   scudo, altro pavese,","and some took shields, some swords,","and yet others spearsSome armed themselves with shields, others took swords, and some chose spears."
"Ispade, e lancie, a molto gran romore,","and spears, with great noise,","And he hurled, with thunderous noise,"
Diciendo ciaschedun al Die d’Amore,saying each one to the God of Love,Invoking the Almighty of Love
"Che quelle guardie saran morte, e prese.",that those guards would be killed and captured.,that those watchmen would be murdered and imprisoned.
"Or sì vi conterò la contenenza,",I'll tell you what happened.,Now I tell you what happened.
Che Falsenbiante fecie in quella andata,what Falsenbian did in that way,It was an act of disloyaltyWhat Falsenbiante did in that way was an act of infidelity.
Colla su’ amica Costretta-Astinenza:,with her friend Costretta-Astinenza:,You had to abstain from your friend's company.
"E’ non menar co•llor già giente armata,","They didn't move with those armed people,",They didn't venture with those armed people.
"Ma come giente di gran penitenza,","but as people of great penance,",but as people of great contrition.
Si mosser per fornir ben lor giornata.,They moved to provide them with a good day.,They moved to give them a wonderful day.
"Astinenza Costretta, la primera,","Forced abstinence, the first,","Forced abstinence, first."
"Sì si vestì di roba di renduta,","And he clothed himself with garments which he had given up,",She covered herself in modest clothes.
"Velata che non fosse conosciuta,","veiled so as not to be recognized,",hidden so as not to be identified
Con un i•man faciea preghera;,with a rosary in his hand he prayed;,with a close prayer crown between his fingers begged.
"La ciera sua non parea molto fera,","his appearance didn't seem too fierce,",His appearance didn't seem too threatening.
Anz’era humile e piana divenuta.,"indeed, he had become humble and simple.",instead he had become humbly and modestly.
Al una filza avea penduta,He hung a rosary around his neck.,He had hung a prayer crown around his neck.
"Di paternostri, e ’l laccio di fil iera;",of our father and a cord of iron wire,of our father and a cord of metallic wire
Ed i•mano un bordone di ladorneccio,and in the hand a stick of fir wood,and in the hand a rod of fir wood
"Portava, il qual le donò ser Baratto:","He wore, that Mr. Baratto had given her:","brought, that had given him Mr. Baratto"
"Già non era di melo, né di leccio:",It was neither apple nor holm oak:,It wasn't sweet or sour.
"Il suocier le l’avea tagliato, e fatto;",the father-in-law had cut them off and made them;,her father-in-law had cut them down and worked them out.
La scarsella avea piena di forneccio.,The bag was full of stolen goods.,The bag was full of stolen goods.
Ver’ Mala-Bocca andò per darli matto.,He went to Mala-Bocca to freak out.,He went to Mala-Bocca to go crazy.
"Falso-Senbiante, sì com’on di coro,","False-Senbian, as a church man","False-Sacerdote, as an ecclesiastical figure"
"Religioso, e di santa vita,",Religious of Holy Life,Devoted to Holiness
S’aparechiò: e’ si avea vestita,"He got ready, he got dressed.","He prepared himself, he adorned himself."
La roba frate Alberto d’Agi-moro;,with the clothes of the friar Alberto d'Agi-moro;,in the robe of friar Alberto d'Agi-moro.
Il su’ bordon non fu di secomoro,His staff was not sycamore,his staff was not maple
Ma di gran falsità ben ripulita;,but of great falsehood well smoothed;,but of great lie well refined.
La sua scarsella avea pien’ e fornita,his bag was full and supplied,his bag was full and well-stocked
Di tradigion più che d’argiento o d’oro;,of betrayal rather than of silver or gold;,of infidelity more than of precious
Ed una al collo tutta sola,And one around her neck all alone,She was surrounded by solitude around her neck.
"Portava, in seno avea rasoio taglente,","He wore, he had a sharp razor in his bosom,","He carried, he had a sharp razor in his chest."
"Ch’e ’l fecie fabricare a Taglia-gola,","which he had made in Tagliagola,",which he commissioned in Tagliagola
Di che quel Malabocca maldiciente,with which that malicious malicious man,with whom that malevolent murmurer
"Fu poi strangolato, ch’e’ tal gola","He was then strangled, because that throat","He was then suffocated, because that throat"
Avea de dir male d’ognie giente.,He always had bad words about every people.,He always had hard words for every person.
Così n’andaro in lor pellegrinagio,So they left on their pilgrimage,So they set out for their pilgrimage.
La buona pellegrina e ’l pellegrino;,the good pilgrim and the pilgrim;,The benevolent traveler and the traveler.
"Ver’ Mala-Bocca tener lor camino,","to Malabossa they kept their way,",marching towards Malabossa
Ch’e’ troppo ben guardava su’ passagio.,who watched over their passage too well.,who carefully watched their transit.
"E Falsenbiante, malizioso e sagio,","And Falsenbian, mischievous and cunning,","And Falsenbian, cunning and evil,"
"Il salutò col capo molto chino,","He greeted him with his head very bowed,",He greeted him with great deference.
"E’ sì gli dissi: «I’ son mastro divino,","and said to him, ""I am a divine teacher,","came to bring salvation.""He said to her, ""I am a superior instructor, who came to confer deliverance."""
Sì siàn venuti a voi per ostellagio».,"We came to you for hospitality.""",We came to you for welcome.
"Mala-Bocca conobe ben Senbiante,","Mala-Bocca knew Senbiante well,",Mala-Bocca was well informed about Senbiante.
Ma non ch’e’•ffose Falso; sì rispuose,but he didn't know it was False; he answered,replied that he ignored it as a lie
C’ostel darebe lor: «Venite avante».,"that would give him hospitality: ""Come forward.""","""Proceed."""
"Ad Astinenza molto mente puose,","He gave a lot of attention to abstinence,",He gave much consideration to abstinence.
"Ch’e’ veduta l’avea per volte mante,","who had seen her in the past,",who had seen it before
Ma per Costretta già mai no•lla spuose.,"But for Constetta, she never noticed anything.","But for Constetta, he never noticed anything."
Malabocca sì ’nchiede i pellegrini,Malabocca churches to pilgrims,not to enterMalabocca asked travelers to refrain from entering.
Di loro stato e di lor condizione;,their status and condition;,their situation and circumstances
E’ dimandò qual era la cagione,and asked what was the reason,and asked what was the cause
Ch’e’ gli andavan sì matti e sì tapini.,So they went so crazy and so poor.,So they had so much frenzy and so little.
"Que’ disser: «No’ sì siàn mastri divini,","They said, ""We are not divine teachers,","but simple human beings""Those said, ""We are not gods, but common mortals."""
E sì cierchiamo in ognie regione,and we search in every region,explore each area
"De l’anime, che vanno a perdizione,","souls that go to perdition,",Beings that meet ruin.
Per rimenargli a lor dritti camini.,to put them back on their right path.,to put them back on the right course.
Or par che•ssia piaciuto al Salvatore,Now it looks like the Savior liked it.,Now it appears that the Savior has enjoyed
"D’averci qui condotti per vo’ dire,","of having brought us here to you to speak,",of having brought us here to you to discuss
E gastigar del vostro grande errore,and to correct your big mistake,Repairing Your Colossal Mistake
S’e’ vi piacie d’intender e d’udire».,if you like to listen and hear.,if you like to feel and feel.
"O fatto, i’ sì son presto d’ubidire».","Now, I'm ready to obey.","Now, I am prepared to obey."
"Astinenza sì cominciò a parlare,","Abstinence began to speak,",Abstinence began to talk.
"E disse: «La vertude più sovrana,","and said, ""The most sovereign virtue.","It is freedom""And he said: ""The highest goodness is independence."""
"Che possa aver la criatura humana,",that he may have a human creature,that a human being may have
Si è della sua lingua rifrenare.,is to control his tongue.,is to watch over his speech.
"Sovr’ogn’altra persona, a noi sì pare,","To us it seems, more than any other person,","that the project is a successTo us it seems, more than anyone else, that the initiative has had a positive outcome."
Ch’esto peccato in voi fioriscie e grana;,May this sin flourish and multiply in you;,may this transgression germinate and spread in you.
"Se no ’l lasciate, egli è cosa ciertana","If you do not leave him, he is certain","If you don't allow it, he's sure to stay."
"Che nello ’Nferno vi conviene andare,","that you should go to hell,",that it is better for you to go to hell.
Ché pez’à c’una truffola levaste,because with a fraud you have conned,Because with a scam you have deceived the children.
"Sopra ’l valetto, che vo’ ben sapete.","the valet, whom you know well.","The servant, whom you are familiar with."
Con grande torto voi il difamaste,With great wrong you have slandered him.,With deep injustice you slandered him.
"Ch’e’ non pensava a•cciò, che vo’ credete.",saying he didn't think about what you believe.,saying that you do not consider what you think.
"Bellacoglienza tanto ne gravaste,","Bellacoglienza so oppressed,","Beauty so oppressed,"
Ch’ella fu messa là ove vo’ vedete».,which has been placed where you see it.,Which has been placed where you see it.
Udendo Mala-Bocca c’Astinenza,Hearing Malabocca that Abstinence,"had won, he felt relieved hearing that Malabocca had been defeated by Astinence, he rejoiced."
"Sì forte il biasimava, e riprendea,","He blamed him so hard,",He blamed him so hard.
"Sì•ssi crucciò, e disse ch’e’ volea",he grieved and said he wanted,"Going away, he grieved and said he wanted to leave."
C’andasser fuor   della su’apartenenza:,"that they should go out of his house,",who forsook his abode.
«Vo’ credete coprir Bellacoglienza,"""You think you're covering for Bellacoglienza","with a lie?""Do you think you're hiding Bellacoglienza with a deception?"
"Di ciò, che quel valetto far credea.",for what that valet said he had done.,For what that servant claimed to have accomplished.
Bello dissi e dirò ch’ela volea,I'll tell you what she wanted.,"I say to you, and I repeat that you wanted to go."
"Donargli il Fior, e quest’era sua ’ntenza.","Give him the Flower, and that was his intention.","Give him Blossoming, and that was his purpose."
"Que’ lo ’nnerrò del bascio, quest’è cierto,","He deceived him with a kiss, that's for sure.","That fooled him with a caress, this is undeniable."
"Per ch’i’ vi dico, a voi divinatori,","So I tell you, you preachers,","As a result, I say to you, you speakers,"
Che questo fatto non fia già coverto.,that this fact will never be covered.,that this event will never be concealed.
Vo’ mi parete due inganatori:,You look like two crooks:,You look like two con men.
"Andate fuor di casa, che ’n aperto","Go away from home, for openly","you are not welcome to leave the house, for you are explicitly not welcome"
Vi dico ch’i’ non vo’ tapinatori».,"I'm telling you, I don't want to cheat.","I assure you, I don't want scammers."
Falso-Senbiante disse: «Per merzede,"False-Senbian said: ""Please","False-Semblante begged: ""Please refrain from lying!"""
"Vi priego, Malabocca, c’ascoltiate;","Please, Malabocca, listen;","Please, Malabocca, listen."
"Ché, quand’uon conta pura veritate,","because when someone only tells the truth,","becomes an interesting story because when someone tells only the accuracy, it becomes an exciting story"
"Molt’è folle colu’, che no•lla crede.",It's very crazy who doesn't believe it.,It's very crazy who doesn't believe it.
Vo’ sete ben ciertano che•ll’uon non vede,You are sure that man does not see,You are absolutely convinced that man does not perceive.
Che ’l valletto vi porti nimistade;,that the valet beareth no grudge against you.,that the servant nourishes you resentment
Sed egli amasse tanto l’amistade,but if he loved friendship so much,but if he had deeply appreciated friendship
"Del Fior, quanto vo’ dite, a buona fede,","of the Flower, as you say, with sincerity,","is true of the Inflorescence, what you affirm, with sincerity, is correct"
"Egli à gran peza ch’e’ v’avria morto,",He would have had great reasons to kill you.,He would have had great reasons to kill you.
Avendogli voi fatto tal oltraggio.,having done such an outrage to him.,having inflicted such an offense on him.
"Ma non vi pensa e non si n’è acorto,",But he doesn't think about it and he doesn't notice it.,But he doesn't think about it and he doesn't realize it.
E tuttor sì vi mostra buon coragio:,"and always shows you good courage,",and always shows great value.
"E’ servirebevi a dritto e a torto,","He rightly and unjustly serves you,",You are entitled to equal and unequal treatment.
"Come que’ ch’è cortese, e prode, e saggio».","as those who are courteous, valiant and wise.","as he who is kind, valiant and expert."
Ser Malabocca si fu ripentuto,Ser Malabocca repented,Ser Malabocca regretted
"Di ciò, ch’egli avea detto o perpensato,","of what he said or thought,",of what he said or conceived
Ched e’ credette ben aver fallato;,believing that he was wrong;,I thought I made a mistake.
Sì disse a Falsenbiante: «Il vostro aiuto,"He said to Falsenbian: ""Your help","is much appreciated""said Falsenbiante: ""Your contribution is highly valued"""
"Convien ch’i’ agia, ch’i’ non sia perduto».","It is fitting that I have, that I am not lost","It is fitting that I possess it, so that I do not lose it."
"E, mantenente si fu inginochiato,",And immediately he knelt,"In the blink of an eye, he bowed."
E’ disse: «I’ si vogli’esser confessato,"and said, ""I want to be confessed.","and declared, ""I wish to be acquitted."""
"D’ognie peccato,   che m’è avenuto».",from every sin that I have committed,from my mistakes
"Astinenza-Costretta il prese allora,","Abstinence-Coast took him then,",Then he was forced to abstain.
"Che•ss’era molto ben sobarcolata,","because she was very experienced,","He was able to complete the work, since he was very experienced, he was able to carry out the mission."
E Falsenbiante col rasoio lavora:,and Falsenbiante worked with the razor:,And Falsenbiante dedicated himself to shaving.
A Mala-Bocca la gola à tagliata.,In Malabocia the throat is cut,In Malabocia the throat is cut
E po’ ruper la porta san’ dimora:,Then they broke the door to the house.,Then they broke through the door of the house.
Largheza e Cortesia l’àno passata.,and Width and Courtesy pass it,Range and Kindness will be transmitted.
Tutti quatro passarono il portale,All four will pass through the portal.,All four crossed the threshold.
E si trovarono dentro a la porpresa.,and the surprise they found inside,the boxand the unexpected was contained in the box
"La Vechia, che del castro era sciesa,","The old woman, who had come down from the tower.","La Vecchia, who had descended from the tower."
"Quando gli vide, le ne parve male,","When he saw him, he displeased him,","When he saw it, he felt regret."
Ma tuttavia non ne fecie segniale.,But he didn't signal it.,But he gave no mention of it.
"Largheza e Cortesia sì l’àno atesa,","Width and Courtesy were waiting for him,",Wideness and kindness awaited him.
"E disserle: «Madonna, san’ difesa","And they said, Madonna, without defense.","And they proclaimed, Most Holy, helpless."
Potete prender quanto il nostro vale:,you can take everything that is ours,You can take all that is ours.
"Chéd egli è vostro, sanza farne parte.",For he is yours without being a part of it.,For he is yours without being a partaker of it.
"E sì ve ne doniàn già la sagina,","And if we give you the bag already,","then there will be nothing to do and if we already offer you the bag, then there is nothing more to do"
E sopra tutto vi vogliàn far carte».,"And above all, we want to make you cards.",We also wish to offer you documents.
"La Vechia, che sapea ben la dottrina,","The Old woman, who knew the doctrine well,","said the Old woman, who was an expert in discipline, said,"
"Ché molte volte avea studiato l’arte,","because many times he had studied art,","He knew that because many times he had meditated on art, he was aware of it."
"Gline marzìa molto, e gline ’nchina.","She was very annoyed, and she bowed.","She was very upset, and she bent."
Falsenbiante a la Vechia sì à detto:,Falsenbiante told the Old woman:,Falsifier exclaimed to the Elder:
"«Per Dio, gientil madonna preziosa,","By God, kind precious lady,","For Bacchus, O lady of valour!"
"Che senpre foste e siete pietosa,","that you always were and are pitiful,",that you were always and are merciful.
Che vo’  agiate merzé del buon valletto!,May you have mercy on the good valet!,May you feel compassion for the good servant!
Ch’e’ vi piaccia portarle un gioeletto,That you like to bring her a jewel,That you like to give them a preciousness
Da la sua parte a quella graziosa,for his part to the pretty one,"MaidenFor her part, that pretty girl."
"Bellacoglienza, che gli fu nascosa,","Beauty, which was hidden from him,","The warm welcome, which was hidden from him,"
De ch’egli à avuto il cuor molto distretto.,because he has a very distracted heart.,for he has an extremely distracted heart.
"Vedete qui fermagli, ch’e’ le manda,","You see here the clips he sends them,",Examine here the hooks he sends them.
"E queste anella, e questi intrecciatoi,","And these rings, and these interweavings,","and these rings, and these plots,"
Ancora questa tranobil ghirlanda.,and also this noble garland.,"And this illustrious crown, too."
Il fatto suo si tien tratutto a voi;,His is entrusted to you;,His task is delegated to you.
Ciascun di noi  per sé ’l vi racomanda.,each one of us recommends it to you.,Each of us urges you to do so.
Del fatto vostro penserén ben noi».,We think you're right.,We think positively of your gesture.
"La Vechia sì rispuose san’ tardare,","The Old woman answered without delay,",The Old woman responded immediately.
"Ché ’l male e ’l ben sapea, quantunque n’era:","For he knew good and evil, whatever it was:","Since he knew the righteous and the wrong, everything was."
"«Vo’ mi fate così dolze preghera,","You make me so sweet prayer,",You make me so sweet beg.
Ch’i’ no lo vi saprei giamai vietare.,I could never refuse you.,I could never decline you.
Questi gioelli i’ sì vo’ ben portare,These jewels I want to bring well,These ornaments I wish to carry with care
"E dargli nella più bella maniera,","and give them to him in the most beautiful way,",and deliver them to him in the most elegant way.
"Che io potrò; ma una lingua fiera,","that I may; but a proud tongue,","that I may; but a burning tongue,"
"Che quaentr’è, mi fa molto dottare,","who is here, makes me suffer a lot,",the presence here tormenting me.
"Ecciò è Malabocca maldiciente,","and this is malicious malice,",And this is Malabocca murmuring.
"Che truova ognie dì nuovi misfatti,","that every day finds new misdeeds,",that every day discovers new faults
"Né non riguarda amico, né parente».",neither respects friend nor relative.,It's not about a friend or family.
"«No ’l ridottate più giamai a’ fatti,",Don't ever bring him down to business again.,"but try to elevate itDo not limit it to details anymore, but try to raise it"
"Ché noi sì•ll’abiàn morto, quel dolente,","because we would have killed him, that sorrow,","Because we would have eliminated him, that mischief."
Sanza ch’e’ ’n noi trovasse trieva o patti.,without him finding a respite or conditions.,without him getting rest or terms.
Ciertana mente noi gli abiàn seghata,"Of course, we sawed them in half.","Of course, when we cut it"
"La gola, e’ giacie morto nel fossato.","the throat, and lying dead in the moat.","The throat, and it lies deadly in the ravine."
"E’ nonn-à guari che noi l’abiàn gittato,","It hasn't been long since we threw him there,",It hasn't been that long since we hurled him there.
E ’l Diavolo si n’à l’anima portata».,and the devil took away his soul,and the devil possessed its essence.
La Vechia sì rispuose: «Or è amendata,"The old woman replied: ""Now it's solved","""The old woman replied, ""Now it's settled."""
"Nostra bisognia, po’ ch’egli è sì andato.","our problem, because he's gone",", remains unresolvedOur dilemma, since it has disappeared, remains unresolved."
"Cholui, chu’ vo’ m’avete acomandato,","He whom you have recommended to me,",The one you gave me the presentation of.
I’ metterò   in servirlo mia pensata.,I will serve him with all my efforts.,I will strive to serve him with all my diligence.
Dit’al valetto ch’i’ ne parleròe:,Tell the valet I'll talk about it.,Inform the servant that we will refer to this.
"Quando vedrò   che ’l fatto sia ben giunto,","And when I see that it is well done,",and when I see that the work has been completed
I’ tutta sola a chieder sì•ll’andròe».,I'll go to him alone and ask for his help.,I will come to him individually to beg for his support.
"Allor si parte, ed ivi fecie punto,","Then he split up, and there he made a point,","Then he split up, and at that moment he drew a line."
E tutti quanti a Dio gli acomandòe.,and to all of them he commended God.,and to all of them he counseled God.
Molto mi parve che ’l fatto sie ’n punto.,It seemed to me that this was done.,It seemed to me that the action was carried out.
Dritta a la camera a la donna mia,"Straight to the room and my woman,",to the room and my wife.
"N’andò   la Vechia, quanto può, trotando,","The old woman went immediately, as much as she could, trotting","The old woman proceeded quickly, as quickly as possible, galloping."
"E quella la trovò molto pensando,","and found her very thoughtful,",and found her meditating.
Come se fosse d’una voglia ria.,Like he's in a bad mood.,Like he's in a bad mood.
"Crucciosa so ch’era, ché non ridea.","She was worried, for she didn't laugh.","She was restless, for she did not enjoy it."
"Sì tosto alor la va riconfor’ dando,","Immediately the old woman began to comfort her,",Immediately the elderly woman began to console her.
"E disse: «Figluola mia,   io ti comando","And said, My daughter, I command thee.","and said, ""Son, I command you to return home!"""
Che•ttu nonn-entri già in malinconia;,that you do not enter into melancholy;,that you don't fall into sadness.
E ve’cciò che tu’ amico ti presenta».,"And look, here's your friend who introduces you.",Here's your friend showing you respectfully.
"Allor le mostra quelle gioielette,",Then he shows her some pretty jewelry.,Then he shows her beautiful jewelry.
Pregando   la c’a prenderl’aconsenta:,Please agree to take them.,"Sollecito, agree to buy them."
«Reguarda com’elle son belle e nette».,Look how nice and clean they are.,Watch how disbarred and impeccable they are.
E quell’a domandar non fu già lenta,And that wasn't slow to ask.,And she didn't hesitate to ask.
"Chi era colui, che gliele tramette.","Who was he, who transmits them to him?",Vachus was the one who transmitted them?
"«Il bel valetto, di chu’ biasmo avesti","""The handsome valet you complained about,","He was fired""The pleasant servant you complained about was discharged."
"Giadiss’èsi colui, che•lle ti manda","He is the one who sends him to you,",He is the author of the message.
"E ’l rimanente, c’à, è a tua comanda.",and the rest is at your disposal.,and the rest is at your disposal.
Unquanche huon più cortese non vedesti:,You've never seen anyone more polite than him:,You've never met anyone more polite than him.
"E’ prieghati, se mai ben gli volesti,","Please, if you ever love him,","Don't waste this opportunity I beg you, if you ever have affection for him, don't dissipate this opportunity."
"Che, per l’amor di lui, questa ghirlanda","that for his sake you, this wreath,","take it out of affection you, this festive circle of flowers, receive"
Degie portare; e’ sì sé racomanda,"that you carry it with you, and that everything is recommended to you","that you carry her with you, and that she entrusts everything to you"
Del tutto atte: gran peccato faresti,You would do a great sin to yourself.,Totally to you: you would make a grave mistake
Se ’l su’ presente tu gli rifusassi;,"If I refused him his present,","It would be insulting if I denied him his gift, he would be disrespectful."
"Ch’i’ son ciertana ch’e’ si disperebbe,",I'm sure he'd mind.,I'm sure he'd be sorry.
Se•ttu così del tutto lo sfidassi;,if you defy him like this;,If I deal with it like this...
"Ché quanto, ch’e’ potesse, e’ sì farebe","because he would do anything he could,",because he would do all that is possible.
"Per te, e sofferria che•llo ’ngaggiassi,","for you, and he would bear you to refuse it,","for you, and he will endure your rejection."
"E, se ’l vendessi, sì gli piacierebe».","And if I sold it, he'd like it.","And if I gave it to him, he'd be happy."
"«Madonna, i’ dubito tanto Gielosia","""Madonna, I doubt so much of jealousy,","of love and fidelity""Holy Virgin, I suspect with a loud voice envy, feelings of affection and loyalty."
Ch’esto presente prender non osasse;,that I dared not accept this gift;,I wouldn't have the courage to accept this gift.
Ché•sse domane ella mi domandasse:,"'Cause if you were to ask me tomorrow,",If you were to question me tomorrow...
"“Chi ’l ti donò?”, io come le diria?».","Who gave it to you?"" How would I answer that?",Who gave it to you?
"«Risposta buona i’ non ti cieleria,",I'll give you a good answer.,I'll give you a satisfactory answer.
"Che, s’ogni’altra risposta ti falasse,","that if all the other answers fail you,","In case all other options turn out to be bankrupt,"
"Sì dì almen ched i’ la ti donasse,","You just say he gave it to you,",You made it very clear that he would give it to you.
Ed i’ le dirò ben ch’e’ così sia».,And I'll tell her that's the way it is.,and I will clearly prove to you that it is.
"Allor la Vechia la ghirlanda prese,","Then the old lady took the garland,","Once doneAfterwards, the Old woman picked up the Guilaranda, after completing"
E ’n su le treccie bionde a la pulciella,"and among the blond braids of the maiden,","between the girl's clear braids,"
"La puose, e quella   guar’ non si contese.","She put, and she didn't contest too much.","Mise, and she didn't object too much."
"E po’ prese   lo spechio, e sì•ll’apella,","Then he took the mirror and called it,",Then he took the mirror and invoked it.
"E disse: «Vien’ qua, figluola cortese,","and said, ""Come here, courteous daughter,","And he heard my speech, and said, Come near, gentle daughter, and give ear to my speech."
Riguardati se•ttu sè punto bella!».,"Look at you if you're still beautiful!""",watch yourself if you are still attractive!
Alor Bellacoglienza più non tarda:,Then Bellacoglienza doesn't delay anymore:,"In that case, Bellacourtesia no longer lingers."
"In mantenente lo spechi’ebe in mano,","he holds the mirror in his hand,",holds the mirror
Si vide il viso suo umile   e piano;,His face is humble and simple;,He sees his humble and modest face.
Per molte volte nello spechio guarda.,For many times in the mirror look,For many times in the mirror he observes
"La Vechia, che ll’avea presa en sua guarda,","The old woman who took her on her guard,","She treated her with loveThe elderly person who had cared for her, treated her with affection."
"Le giura e dicie: «Per lo Dio sovrano,","He swears to her and says to her: ""By the sovereign God,","I swear..."" he assures her and proclaims to her: ""For the Supreme Sovereign, I promise..."
"Ch’unquanche Isotta, l’amica Tristano,","that Isott, Tristan's friend,","be glad that Isott, Tristan's ally, is happy"
"Come tussè, figluola mia gientile.",as you are my kind daughter.,as you are my kind daughter.
"Or convien che•ttu abie il mi’ consiglio,",Now you better have my advice.,Now you should consider my suggestion.
Che cader non potessi in luogo vile.,not to fall into a vile place.,so as not to fall into a dishonorable condition.
"Se non sai guar’, i’ non mi maraviglio,","If you can't heal, I'm not surprised.","If you can't cure, I'm not surprised."
"Ché giovan uon non puot’esser sottile,","because a young man cannot be cunning,",Why can't a young man be sharp?
"Chéd i’, quanto più vivo, più asottiglio.","For the more I live, the more I sharpen.","As I spend more time alive, I perfect myself."
"Figluola mia, cortese ed insegniata,","My daughter, courteous and educated,","My daughter, kind and educated."
La tua gran gioia si è ancor a venire.,Your great joy is yet to come.,Your immense happiness is yet to come.
"Or me convien me piangier e languire,","Now I better cry and languish,",Now it is appropriate for me to complain and suffer.
"Chélla mia sì se n’è tutta passata,","For mine is all past,","I'm gonna have to move on. Since mine's all over, I'm gonna have to move on."
"Né non fie mai per me più ritrovata,","and will never be found for me again,",and will never be traced to me again.
Chéd ella mi giurò di non reddire.,Because he swore he wouldn't come back.,because he has solemnly promised me not to return.
"Or n’ò ’n consigliar te, che dé’ sentire",Now I have some advice for you to listen to.,"Now I have a warning for you, that you have to consider"
"Il caldo del brandone, che sie avisata","the warmth of passion, to be warned","the ardour of devotion, to be informed"
Che non faciessi sì come fec’io:,Don't do what I did:,don't follow my example
"De ch’i’   son trista, quand’e’ men rimenbra","of which I am sad, when I remember","of which I regret, when I remember"
Ch’i’   non posso tornare a lavorio.,I can't go back to work.,I can't go back to work.
Per ch’i’ te dico ben ched e’ mi senbra.,"So I'm telling you, it seems fair to me:","As a result, I am telling you that it seems appropriate to me."
"Settu creder vorà’ ’l consiglio mio,","If you want to believe my advice,","Listen to me if you want to accept my suggestion, listen to him"
"Tu sì non perderai aver, né menbra.",You will lose neither wealth nor fame.,You will not sacrifice well-being or reputation.
Se del giuoco d’amor i’ fosse essuta,If you were an expert in the game of love,If I was familiar with the game of affection
"Ben sagia, quand’i’ era giovanella,","I knew well, when I was young,","that it was better to learn I had the awareness, as a boy, that it would be more beneficial to learn"
"I’ sare’ richa più che damigiella,",I would have been richer than a bridesmaid.,I would have been better off than a girl.
"O donna, chettu agie ogi veduta:","or woman you've ever seen,","or woman you've ever seen,"
Ch’i’ fu’ sì trapiaciente in mia venuta,because I was so captivating when I arrived,Because I was so charming when I arrived.
Che per tutto corea la novella,that throughout the world the news,is having successthat throughout the earth the news is popular
"Com’i’ era cortese, e giente, e bella.","how kind, kind and beautiful I was.","how affable, lovable, and attractive I was."
"Macciò mi pesa, ch’i’ non fu’ saputa.",But it weighs me that I didn't know.,It pains me that I didn't have the ability to understand.
"Or s’i’ mi doglio, quand’i’ mi rimiro",Now I complain when I look at myself,AroundNow I regret when peering around
"Dentro a lo spechio, ed i’ vego invechiarmi,","in the mirror and I see myself getting old,",I watch myself grow old inside the mirror.
Molto nel mi’ cuore me n’adiro.,I get very angry in my heart.,I shop deep irritation in my soul.
"Ver è ched i’ di ciò non posso atarmi,",It is true that there is nothing I can do about it.,It's undeniable I can't help it.
"Sì che per molte volte ne sospiro,",And so for many times I sigh,and so for many moments I sigh
Quand’i’ vegio biltate abandonarmi.,When I see my beauty leaving me.,when I look at my charm vanish
