Original,Translate_fr_1,Translate_fr_2
Che Falsenbiante fecie in quella andata,ce que Falsenbiant a fait dans cette aller-retour,C'était un acte de déloyautéCe que Falsenbiant fit dans cette allerse était un acte d'infidélité.
Colla su’ amica Costretta-Astinenza:,avec son amie Costretta-Astinence:,Elle a dû s'abstenir de la compagnie de son amie.
"E’ non menar co•llor già giente armata,",Ils n'ont pas bougé avec ces gens armés.,Ils ne s'aventurent pas avec ces gens armés.
"Ma come giente di gran penitenza,","mais comme des gens de grande pénitence,",mais en tant que personnes de grande contrition.
Si mosser per fornir ben lor giornata.,ils se déplaçèrent pour leur donner une bonne journée.,ils se déplaçèrent pour leur donner une belle journée.
"Astinenza Costretta, la primera,","Abstinence Costretta, la première,","Abstinence Force, la première."
"Sì si vestì di roba di renduta,","il s'habillait en déshabillés,",il se couvrit avec des vêtements modestes.
"Velata che non fosse conosciuta,","voilé afin de ne pas être reconnu,",cachée de manière à ne pas être identifiée
Con un i•man faciea preghera;,"avec un chapelet à la main, il priait;",avec une couronne de prière serrée entre les doigts suppliait.
"La ciera sua non parea molto fera,","son apparence ne semblait pas trop féroce,",Son apparence ne semblait pas trop menaçante.
Anz’era humile e piana divenuta.,"En fait, il était devenu humble et simple.",Mais il était devenu humblement et modestement.
Al una filza avea penduta,Il avait accroché un chapelet à son cou.,Il avait pendu autour de son cou une couronne de prière.
"Di paternostri, e ’l laccio di fil iera;",d'un père et d'un cordon de fil de fer,d'un père et d'un cordon de fil métallique
Ed i•mano un bordone di ladorneccio,et dans sa main un bâton de bois d'épicéa,et dans sa main une verge en bois d'épicéa
"Portava, il qual le donò ser Baratto:","Elle portait, que M. Troat lui avait donné:","Il portait, que lui avait donné M. Troat"
"Già non era di melo, né di leccio:",n'était ni de pommier ni de lichen:,Ce n'était ni doux ni assourdissant.
"Il suocier le l’avea tagliato, e fatto;",le beau-père lui avait coupé et fait;,Son beau-père lui avait coupé et élaboré.
La scarsella avea piena di forneccio.,Le sac était rempli de marchandises volées.,Le sac était rempli de biens volés.
Ver’ Mala-Bocca andò per darli matto.,Il se dirigea vers Mala-Bocca pour flipper.,Il se dirigea vers Mala-Bocca pour devenir fou.
"Falso-Senbiante, sì com’on di coro,","Faux-Senbiant, en tant qu'homme d'église","Faux-prêtre, comme figure ecclésiastique"
"Religioso, e di santa vita,",Religieux de sainte vie,Dévoué à la sainteté
S’aparechiò: e’ si avea vestita,"Il s'est préparé, il s'était habillé.","Il s'est préparé, il s'était vêtu."
La roba frate Alberto d’Agi-moro;,avec les vêtements du frère Albert d'Agi-more;,avec la robe de frère Alberto d'Agi-moro.
Il su’ bordon non fu di secomoro,Son bâton n'était pas de sycomore.,Son bâton n'était pas d'érable.
Ma di gran falsità ben ripulita;,mais d'une grande fausseté bien polie;,mais d'un grand mensonge bien affiné.
La sua scarsella avea pien’ e fornita,Son sac était plein et fourni.,son sac était rempli et bien fourni
Di tradigion più che d’argiento o d’oro;,de trahison plus qu'en argent ou en or;,d'infidélité plus que de précieux
Ed una al collo tutta sola,Et une au cou toute seule.,Elle était entourée de solitude au cou.
"Portava, in seno avea rasoio taglente,","Elle portait, dans ses seins avait un rasoir tranchant,","Il transportait, il avait un rasoir aiguisé dans sa poitrine."
"Ch’e ’l fecie fabricare a Taglia-gola,","qu'il fit fabriquer à Tagliagola,",qu'il commanda à Tagliagola
Di che quel Malabocca maldiciente,Avec qui ce Malabocca maladroit,Avec qui ce murmure malveillant
"Fu poi strangolato, ch’e’ tal gola","Puis il fut étranglé, parce que sa gorge était étranglée.","Puis il a été étouffé, parce que cette gorge"
Avea de dir male d’ognie giente.,Il avait toujours de mauvaises paroles sur tous les gens.,Il avait toujours des mots durs pour chaque personne.
Così n’andaro in lor pellegrinagio,Ils partirent donc dans leur pèlerinage.,Ils se sont donc mis en route pour leur pèlerinage.
La buona pellegrina e ’l pellegrino;,la bonne pèlerine et le pèlerin;,Le voyageur bienveillant et le voyageur.
"Ver’ Mala-Bocca tener lor camino,","vers Malabossa ils tenaient leur chemin,",Ils se dirigeaient vers Malabossa.
Ch’e’ troppo ben guardava su’ passagio.,qui surveillait trop bien leur passage.,qui veillait attentivement à leur transit.
"E Falsenbiante, malizioso e sagio,","Et Falsenbiant, malicieux et futé,","Et Falsenbiant, futé et malin,"
"Il salutò col capo molto chino,","Il le salua avec sa tête très penchée,",Il le salua avec une grande déférence.
"E’ sì gli dissi: «I’ son mastro divino,","et lui dit: Je suis un maître divin,","Il lui dit: ""Je suis un instructeur supérieur, venu donner la libération."""
Sì siàn venuti a voi per ostellagio».,"Nous sommes venus chez vous pour l'hospitalité.""",Nous sommes venus à vous pour l'accueil.
"Mala-Bocca conobe ben Senbiante,","Mala-Bocca connaissait bien Senbiante,",Mala-Bocca était bien informé sur Senbiante.
Ma non ch’e’•ffose Falso; sì rispuose,Mais il ne savait pas qu'il était faux; il répondit:,répondit qu'il ignorait que c'était un mensonge.
C’ostel darebe lor: «Venite avante».,"qui lui donnerait l'hospitalité: ""Venez en avant.""","""Procédez."""
"Ad Astinenza molto mente puose,","Il donna beaucoup d'attention à l'abstinence,",Il accorda beaucoup de considération à l'abstinence.
"Ch’e’ veduta l’avea per volte mante,","qui l'avait vue dans le passé,",qui l'avait déjà vu
Ma per Costretta già mai no•lla spuose.,Mais Costretta n'avait jamais rien remarqué.,"Mais pour Costretta, il n'avait jamais rien remarqué."
Malabocca sì ’nchiede i pellegrini,Malaboque demanda aux pèlerins,de ne pas entrer Malabocca a demandé aux voyageurs de s'abstenir d'entrer.
Di loro stato e di lor condizione;,de leur état et de leur condition;,de leur situation et de leurs circonstances
E’ dimandò qual era la cagione,Et il demanda quelle était la raison,et demanda quelle était la cause
Ch’e’ gli andavan sì matti e sì tapini.,Ils étaient si fous et si pauvres.,C'est pourquoi ils avaient tant de frénésie et si peu.
"Que’ disser: «No’ sì siàn mastri divini,","Ils dirent: ""Nous ne sommes pas des maîtres divins,","Mais de simples êtres humains""Il affirma: ""Nous ne sommes pas des dieux, mais des communs mortels."""
E sì cierchiamo in ognie regione,et nous cherchons dans chaque région,On explore toutes les zones.
"De l’anime, che vanno a perdizione,","les âmes qui vont à la perdition,",des êtres qui rencontrent la ruine.
Per rimenargli a lor dritti camini.,pour les remettre sur leurs justes chemins.,Pour les remettre sur la bonne voie.
Or par che•ssia piaciuto al Salvatore,On dirait que le Sauveur l'a aimé.,"Maintenant, il semble que le Sauveur ait aimé"
"D’averci qui condotti per vo’ dire,","de nous avoir emmenés ici pour parler,",de nous avoir fait venir ici pour discuter.
E gastigar del vostro grande errore,et de corriger votre grande erreur,Réparer votre erreur colossale
S’e’ vi piacie d’intender e d’udire».,si vous aimez écouter et entendre.,si vous aimez entendre et sentir.
"O fatto, i’ sì son presto d’ubidire».","Maintenant, je suis prêt à obéir.","Maintenant, je suis prêt à obéir."
"Astinenza sì cominciò a parlare,","Abstinence a commencé à parler,",Abstinence a commencé à parler.
"E disse: «La vertude più sovrana,","et dit: ""La vertu la plus souveraine","c'est la liberté""Et il affirma: ""La plus haute bonté est l'indépendance."""
"Che possa aver la criatura humana,",qui puisse avoir une créature humaine,qu'un être humain puisse avoir
Si è della sua lingua rifrenare.,C'est celle qui contrôle sa langue.,C'est celle de veiller sur sa parlée.
"Sovr’ogn’altra persona, a noi sì pare,","Il nous semble, plus que n'importe qui d'autre,","qu'il s'agit d'un succèsIl nous semble, plus que quiconque, que l'initiative a été couronnée de succès."
Ch’esto peccato in voi fioriscie e grana;,que ce péché fleurisse et se multiplie en vous;,que cette transgression germe et se répande en vous.
"Se no ’l lasciate, egli è cosa ciertana","si vous ne le quittez pas, il est certain","Si vous ne le permettez pas, il restera."
"Che nello ’Nferno vi conviene andare,","que vous feriez mieux d'aller en enfer,",Vous feriez mieux de vous diriger vers l'enfer.
Ché pez’à c’una truffola levaste,parce qu'avec une fraude vous avez escroqué,les enfants Parce qu'avec une arnaque vous avez trompé les enfants.
"Sopra ’l valetto, che vo’ ben sapete.","le valet, que vous connaissez bien.","Le serviteur, que vous connaissez bien."
Con grande torto voi il difamaste,C'est à tort que vous l'avez calomnié.,"Avec une profonde injustice, vous l'avez calomnié."
"Ch’e’ non pensava a•cciò, che vo’ credete.",en disant qu'il ne pensait pas à ce que vous croyez.,en prétendant ne pas prendre en considération ce que vous pensez.
"Bellacoglienza tanto ne gravaste,","Bellaconglienza si opprimée,","Beau accueil si opprimé,"
Ch’ella fu messa là ove vo’ vedete».,qui a été mise là où vous la voyez.,Qui a été placée là où vous la voyez.
Udendo Mala-Bocca c’Astinenza,En entendant Malaboque qu'Astinence,"Il avait gagné, il s'est senti soulagé En apprenant que Malabocca avait été vaincu par l'Astinence, il s'est réjoui."
"Sì forte il biasimava, e riprendea,",Il le blâmait si durement.,Il le réprimandait si fort.
"Sì•ssi crucciò, e disse ch’e’ volea",Il s'est attristé et a dit qu'il voulait,Il s'en alla et dit qu'il voulait partir.
C’andasser fuor   della su’apartenenza:,qu'ils sortent de chez lui:,qu'ils abandonnent sa demeure
«Vo’ credete coprir Bellacoglienza,"""Croyez que vous couvrez Bellacoglienza","""Croyez-vous cacher Bellaconglienza avec une tromperie ?"""
"Di ciò, che quel valetto far credea.",Pour ce que ce valet disait avoir fait.,Pour ce que ce serviteur prétendait avoir accompli.
Bello dissi e dirò ch’ela volea,Je vous le dis et je répète qu'elle voulait,"Allez-y, je vous dis et je répète que vous vouliez vous diriger."
"Donargli il Fior, e quest’era sua ’ntenza.","Lui donner la Fleur, et c'était son intention.","Lui donner le Blossoming, et c'était son but."
"Que’ lo ’nnerrò del bascio, quest’è cierto,","Il l'a trompée avec un baiser, c'est certain.","Il l'a trompé avec une caresse, c'est indéniable."
"Per ch’i’ vi dico, a voi divinatori,","Je vous le dis, vous les prédicateurs,","En conséquence, je vous le dis, vous, les orateurs,"
Che questo fatto non fia già coverto.,que ce fait ne sera jamais couvert.,que cet événement ne sera jamais caché.
Vo’ mi parete due inganatori:,Vous avez l'air de deux escrocs.,On dirait deux escrocs.
"Andate fuor di casa, che ’n aperto","Partez de chez vous, car ouvertement","vous n'êtes pas les bienvenus, quittez l'habitation, car vous n'êtes pas expressément aimés."
Vi dico ch’i’ non vo’ tapinatori».,Je vous dis que je ne veux pas de tricheurs.,Je vous assure que je ne veux pas d'escrocs.
Falso-Senbiante disse: «Per merzede,Faux-Senbiant dit:,"""Ne mens pas !""Faux-Semblant supplia: ""S'il te plaît, ne mens pas !"""
"Vi priego, Malabocca, c’ascoltiate;","S'il vous plaît, Malabocca, écoutez.","S'il vous plaît, Malabocca, écoutez."
"Ché, quand’uon conta pura veritate,","parce que quand quelqu'un ne dit que la vérité,","Ça devient une histoire intéressante parce que quand quelqu'un raconte l'exactitude, ça devient une histoire passionnante."
"Molt’è folle colu’, che no•lla crede.",C'est très fou ceux qui ne la croient pas.,"Il est très fou, celui qui ne la croit pas."
Vo’ sete ben ciertano che•ll’uon non vede,Vous êtes certains que l'homme ne voit pas,Vous êtes absolument convaincus que l'homme ne perçoit pas.
Che ’l valletto vi porti nimistade;,que le valet ne vous met pas en rancune,que le serviteur n'y nourrit pas de ressentiment
Sed egli amasse tanto l’amistade,Mais s'il avait tant aimé l'amitié,mais s'il avait profondément apprécié l'amitié
"Del Fior, quanto vo’ dite, a buona fede,","de la Fleur, ce que vous dites, avec sincérité,","Il est vrai de l'inflorescence, ce que vous affirmez, avec sincérité, est exact."
"Egli à gran peza ch’e’ v’avria morto,",Il aurait eu de grandes raisons de vous tuer.,Il aurait eu de grandes raisons de vous tuer.
Avendogli voi fatto tal oltraggio.,Lui ayant fait un tel outrage.,lui ayant infligé une telle offense.
"Ma non vi pensa e non si n’è acorto,",Mais il n'y pense pas et il ne le voit pas.,Mais il n'y réfléchit pas et il ne s'en rend pas compte.
E tuttor sì vi mostra buon coragio:,"et vous montre toujours bon courage,",et montre toujours une grande valeur.
"E’ servirebevi a dritto e a torto,","vous en avez besoin à juste titre et injustement,",Vous avez droit à la fois à l'égalité et à l'inégalité.
"Come que’ ch’è cortese, e prode, e saggio».","comme celui qui est courtois, vaillant et sage.","comme celui qui est bon, fort et expérimenté."
Ser Malabocca si fu ripentuto,Ser Malabocca se repentit,Ser Malabocca a regretté
"Di ciò, ch’egli avea detto o perpensato,","de ce qu'il a dit ou pensé,",de ce qu'il a affirmé ou conçu
Ched e’ credette ben aver fallato;,en croyant qu'il s'est trompé;,Pensant avoir fait une erreur.
Sì disse a Falsenbiante: «Il vostro aiuto,"Il dit à Falsenbiant: ""Votre aide","est très apprécié"" dit-il à Falsenbiante: ""Votre contribution est très appréciée"""
"Convien ch’i’ agia, ch’i’ non sia perduto».","Il convient que j'aie, que je ne sois pas perdu","Il convient que je possède, de manière à ne pas le perdre."
"E, mantenente si fu inginochiato,",Et aussitôt il s'agenouille.,"En un clin d'œil, il se prosterna."
E’ disse: «I’ si vogli’esser confessato,"et dit: ""Je veux être confessé","et dit: ""Je veux être acquitté."""
"D’ognie peccato,   che m’è avenuto».",de tout péché que j'ai commis,de mes fautes
"Astinenza-Costretta il prese allora,","Abstinence-Costrite l'a alors pris,",Il fut alors contraint de s'abstenir.
"Che•ss’era molto ben sobarcolata,","parce qu'elle était très expérimentée,","Il réussit à terminer le travailDonné qui était très expérimentée, il fut en mesure de mener à bien la mission."
E Falsenbiante col rasoio lavora:,et Falsenbiant travaillait avec le rasoir:,Et Falsenbiante se consacrait au rasage.
A Mala-Bocca la gola à tagliata.,"À Malabocia, la gorge est coupée.","À Malabocia, la gorge est coupée."
E po’ ruper la porta san’ dimora:,Puis ils brisent la porte de la maison.,Puis ils ont défoncé la porte de la maison.
Largheza e Cortesia l’àno passata.,et Largeur et Avec l'aimableté la passeront,Largeur et gentillesse seront transmises.
Tutti quatro passarono il portale,Tous les quatre passent le portail.,Tous les quatre ont franchi le seuil.
E si trovarono dentro a la porpresa.,et la surprise se trouva à l'intérieur,la boîte et l'inattendu était contenu dans la boîte
"La Vechia, che del castro era sciesa,","La Vieille, qui était descendue de la tour.","La Vieille, qui était descendue de la tour."
"Quando gli vide, le ne parve male,","Quand il l'a vu, il lui a fait du mal.","Quand il l'a vu, il a eu des regrets."
Ma tuttavia non ne fecie segniale.,Mais il n'en fit aucun signe.,Mais il n'en a pas fait mention.
"Largheza e Cortesia sì l’àno atesa,",La largeur et l'aimablesse l'attendaient.,Largeur et gentillesse l'attendaient.
"E disserle: «Madonna, san’ difesa","Et ils dirent: Madonna, sans défense","Et ils proclamèrent: Très Sainte, sans défense."
Potete prender quanto il nostro vale:,Vous pouvez prendre tout ce qui est à nous.,Vous pouvez prendre tout ce qui est à nous.
"Chéd egli è vostro, sanza farne parte.",parce qu'il est à vous sans en faire partie,parce qu'il est à vous sans y participer
"E sì ve ne doniàn già la sagina,","Et si nous vous donnons déjà le sac,","alors il n'y aura rien à faire et si nous vous offrons déjà le sac, alors il n'y a plus rien à faire"
E sopra tutto vi vogliàn far carte».,"Et surtout, nous voulons vous faire des cartes.",Nous souhaitons également vous offrir des documents.
"La Vechia, che sapea ben la dottrina,","La Vieille, qui connaissait bien la doctrine,","dit la vieille femme, qui était experte en discipline,"
"Ché molte volte avea studiato l’arte,","parce qu'il avait souvent étudié l'art,","Il le savait parce qu'il avait souvent médité sur l'art, il le savait."
"Gline marzìa molto, e gline ’nchina.","Elle était très énervée, et elle s'est penchée.","Elle était très contrariée, et elle s'est pliée."
Falsenbiante a la Vechia sì à detto:,Falsenbiante a dit à la vieille:,Falsificateur s'exclama à l'ancienne:
"«Per Dio, gientil madonna preziosa,","Pour l'amour de Dieu, gentille dame précieuse,","Pour Bacchus, ô dame de valeur !"
"Che senpre foste e siete pietosa,","que vous étiez toujours et que vous étiez pitoyable,",que vous étiez toujours et que vous étiez miséricordieuse.
Che vo’  agiate merzé del buon valletto!,Que vous puissiez avoir pitié du bon valet !,Que vous éprouviez de la compassion pour le bon serviteur!
Ch’e’ vi piaccia portarle un gioeletto,Que vous aimiez lui apporter un bijou,Que vous aimez leur donner une valeur
Da la sua parte a quella graziosa,de sa part à la jolie,C'est pour sa part à cette jolie fille.
"Bellacoglienza, che gli fu nascosa,","Bellaconglienza, qui lui fut cachée,","L'accueil chaleureux, qui lui fut caché,"
De ch’egli à avuto il cuor molto distretto.,parce qu'il a le cœur très distrait.,parce qu'il a le cœur extrêmement distrait.
"Vedete qui fermagli, ch’e’ le manda,",Vous voyez ici les verrous qu'il envoie.,Examinez ici les crochets qui les envoient.
"E queste anella, e questi intrecciatoi,","et ces anelles, et ces tressailles,","et ces anneaux, et ces trames"
Ancora questa tranobil ghirlanda.,Et cette noble guirlande aussi.,Et cette illustre couronne aussi.
Il fatto suo si tien tratutto a voi;,C'est à vous qu'il revient de faire ce qu'il a fait;,Son travail vous est délégué.
Ciascun di noi  per sé ’l vi racomanda.,chacun de nous le recommande à vous.,Chacun de nous vous exhorte à le faire.
Del fatto vostro penserén ben noi».,Nous pensons qu'il s'agit d'un fait.,Nous pensons que votre geste est positif.
"La Vechia sì rispuose san’ tardare,","La vieille répondit sans tarder,",La vieille femme répondit immédiatement.
"Ché ’l male e ’l ben sapea, quantunque n’era:","parce qu'il connaissait le bien et le mal, quoi qu'il fût:","Comme il connaissait le juste et le faux, tout était."
"«Vo’ mi fate così dolze preghera,","Vous me faites une si douce prière,",Vous me suppliez si gentiment.
Ch’i’ no lo vi saprei giamai vietare.,que je ne pourrais jamais te refuser.,que je ne pourrais jamais te décliner.
Questi gioelli i’ sì vo’ ben portare,"Ces bijoux, je veux bien les porter.",Ces ornements je veux porter avec soin
"E dargli nella più bella maniera,","et leur donner de la plus belle façon,",et les lui remettre de la façon la plus élégante.
"Che io potrò; ma una lingua fiera,","que je puisse; mais une langue fière,","que je puisse; mais une langue brûlante,"
"Che quaentr’è, mi fa molto dottare,","qu'il y a ici, il me fait beaucoup souffrir,",la présence ici qui m'écrase.
"Ecciò è Malabocca maldiciente,","et voici Malabocca maladroite,",Et voici Malabocca qui murmure.
"Che truova ognie dì nuovi misfatti,","qui trouve chaque jour de nouveaux méfaits,",qui découvre de nouvelles fautes chaque jour
"Né non riguarda amico, né parente».",Il ne respecte ni l'ami ni la famille.,Il ne s'agit ni d'ami ni de famille.
"«No ’l ridottate più giamai a’ fatti,",Ne le remettez plus jamais aux faits.,"mais essayez de l'éleverNe le limitez plus jamais aux détails, mais essayez de le relever"
"Ché noi sì•ll’abiàn morto, quel dolente,","parce que nous l'aurions tué, ce malheureux,","Parce qu'on l'aurait éliminé, ce raté."
Sanza ch’e’ ’n noi trovasse trieva o patti.,sans qu'il ne trouve de trêve ou de conditions.,sans qu'il obtienne du repos ou des délais.
Ciertana mente noi gli abiàn seghata,"Bien sûr, nous l'avons scié.","Bien sûr, quand on l'a coupé."
"La gola, e’ giacie morto nel fossato.","la gorge, et il est mort dans le fossé.",Sa gorge est morte dans le ravin.
"E’ nonn-à guari che noi l’abiàn gittato,",Il n'y a pas si longtemps qu'on l'a jeté là-bas.,Ça ne fait pas si longtemps qu'on l'a jeté là-bas.
E ’l Diavolo si n’à l’anima portata».,et le diable s'en est emparé de son âme.,et le démon s'en est emparé de l'essence.
La Vechia sì rispuose: «Or è amendata,"La vieille femme répondit: "" Maintenant, c'est réglé","""La vieille femme répondit: ""Maintenant, c'est réglé."""
"Nostra bisognia, po’ ch’egli è sì andato.","notre problème, parce qu'il est parti",", reste insolentNotre dilemme, puisqu'il a disparu, reste non résolu."
"Cholui, chu’ vo’ m’avete acomandato,","celui que vous m'avez recommandé,",Celui dont vous m'avez fait la présentation.
I’ metterò   in servirlo mia pensata.,Je vais le servir avec tout mon engagement.,Je m'efforcerai de le servir avec toute ma diligence.
Dit’al valetto ch’i’ ne parleròe:,Dites au valet que j'en parlerai.,Dites au serviteur que nous en parlerons.
"Quando vedrò   che ’l fatto sia ben giunto,","et quand je verrai que le fait est bien accompli,",et quand je verrai que l'œuvre a été accomplie
I’ tutta sola a chieder sì•ll’andròe».,J'irai le chercher moi-même.,Je me rendrai auprès de lui individuellement pour implorer son soutien.
"Allor si parte, ed ivi fecie punto,","Alors il se sépara, et là il fit un point,","Alors il s'est séparé, et à ce moment-là il a tracé une frontière."
E tutti quanti a Dio gli acomandòe.,"et à tous, il lui recommanda Dieu.",et il conseilla Dieu à tous.
Molto mi parve che ’l fatto sie ’n punto.,Il m'a semblé que c'était fait.,Il me semblait que l'action était réalisée.
Dritta a la camera a la donna mia,"Tout droit dans la chambre et ma femme,",En route pour la chambre et ma femme.
"N’andò   la Vechia, quanto può, trotando,","La vieille s'en alla aussi vite qu'elle le pouvait, en trottant.","La vieille a agi rapidement, aussi vite que possible, en galopant."
"E quella la trovò molto pensando,","et la trouva très pensive,",et la découvrit méditabonde.
Come se fosse d’una voglia ria.,Comme si elle était de mauvaise humeur.,Comme si elle était de mauvaise humeur.
"Crucciosa so ch’era, ché non ridea.","Elle était inquiète, car elle ne riait pas.","Elle était inquiète, car elle ne jouissait pas."
"Sì tosto alor la va riconfor’ dando,","Soudain, la vieille a commencé à la réconforter.","Immédiatement, la vieille femme commença à la consoler."
"E disse: «Figluola mia,   io ti comando","Et il dit: Ma fille, je t'ordonne","Et il dit: ""Fille, je te commande de rentrer à la maison!"""
Che•ttu nonn-entri già in malinconia;,que tu n'entres pas dans la mélancolie;,Que tu ne tombes pas dans la tristesse.
E ve’cciò che tu’ amico ti presenta».,"Et regarde, voici ton ami qui te présente.",Voici ton ami qui te présente respectueusement.
"Allor le mostra quelle gioielette,",Elle vous montre de beaux bijoux.,Alors il lui montre de magnifiques bijoux.
Pregando   la c’a prenderl’aconsenta:,"S'il vous plaît, acceptez de les prendre.","S'il vous plaît, acceptez de les acheter."
«Reguarda com’elle son belle e nette».,Regarde comme elles sont belles et propres.,Regarde comme elles sont radiées et impeccables.
E quell’a domandar non fu già lenta,Et elle n'a pas été lente à demander,Et elle n'a pas hésité à demander.
"Chi era colui, che gliele tramette.",qui était celui qui les lui transmet?,Vachi était - il celui qui les transmettait?
"«Il bel valetto, di chu’ biasmo avesti","""Le beau valet dont tu t'es plaint,","""Le serviteur agréable dont tu t'es plaint, a été renvoyé."
"Giadiss’èsi colui, che•lle ti manda","C'est lui qui te l'envoie,",Il est l'auteur du message.
"E ’l rimanente, c’à, è a tua comanda.",et le reste est à votre disposition.,et le reste est à votre disposition.
Unquanche huon più cortese non vedesti:,Tu n'as jamais vu quelqu'un de plus poli que lui.,Tu n'as jamais rencontré quelqu'un de plus poli que lui.
"E’ prieghati, se mai ben gli volesti,","S'il te plaît, si tu l'aimes,","Ne gâchez pas cette occasion Je vous en supplie, si vous avez de l'affection pour lui, ne dissipez pas cette occasion."
"Che, per l’amor di lui, questa ghirlanda","que pour son amour, cette guirlande,","Prends-moi par affection, toi, ce cercle de fleurs festive,"
Degie portare; e’ sì sé racomanda,"que tu l'emmènes avec toi, et qu'on te recommande tout.","Que tu la transportes avec toi, et qu'elle te confie tout."
Del tutto atte: gran peccato faresti,Tout à toi: tu ferais un grand péché,Tout à vous: vous commettrez une grave erreur
Se ’l su’ presente tu gli rifusassi;,"Si je lui refuse son cadeau,","Il serait offensé de lui refuser son don, il serait mécontent."
"Ch’i’ son ciertana ch’e’ si disperebbe,","que je suis sûre qu'il serait désolé,",Je suis sûre qu'il le regretterait.
Se•ttu così del tutto lo sfidassi;,"Si tu le défiais de cette façon,",Si je l'affrontais comme ça...
"Ché quanto, ch’e’ potesse, e’ sì farebe","parce qu'il ferait tout ce qu'il pourrait,",Parce qu'il ferait tout ce qui est possible.
"Per te, e sofferria che•llo ’ngaggiassi,","pour toi, et il supporterait que tu le refuses,","Pour toi, et il supportera ton refus."
"E, se ’l vendessi, sì gli piacierebe».","Et si je la vends, il aimerait.","Et si je la lui cédais, il serait heureux."
"«Madonna, i’ dubito tanto Gielosia","""Madonna, je doute de la jalousie,","d'amour et de fidélité""Sainte Vierge, je soupçonne d'une voix forte l'envie, le sentiment d'affection et la loyauté."
Ch’esto presente prender non osasse;,que je n'ose pas accepter ce cadeau;,que je n'aurais pas le courage d'accepter ce don.
Ché•sse domane ella mi domandasse:,Parce que si vous me demandiez demain:,Si vous m'interrogez demain
"“Chi ’l ti donò?”, io come le diria?».","""Qui t'a donné ça ?"" Comment lui dirais-je ?",Qui t'a donné ça ?
"«Risposta buona i’ non ti cieleria,",Je vais te donner une bonne réponse.,Je vais vous donner une réponse satisfaisante.
"Che, s’ogni’altra risposta ti falasse,","qui, si toutes les autres réponses t'échouent,","Si toutes les autres options se révèlent en faillite,"
"Sì dì almen ched i’ la ti donasse,","Tu dis juste qu'il te l'a donnée,",Tu as dit clairement qu'il te l'accordait.
Ed i’ le dirò ben ch’e’ così sia».,Et je vous dirai bien que c'est le cas.,et je vais vous montrer clairement que c'est le cas.
"Allor la Vechia la ghirlanda prese,","Alors la vieille fille prit la guirlande,","une fois faitPar la suite, la vieille fille a ramassé la guirlande, après avoir terminé"
E ’n su le treccie bionde a la pulciella,"et parmi les chevilles blondes de la jeune fille,","entre les tresses claires de la fille,"
"La puose, e quella   guar’ non si contese.",""" a - t - elle dit, et elle n'a pas trop protesté.","Elle a mis, et elle n'a pas trop objecté."
"E po’ prese   lo spechio, e sì•ll’apella,","Puis il prit le miroir et l'appela,",Puis il prit le miroir et l'invoqua.
"E disse: «Vien’ qua, figluola cortese,","Et il dit: Viens ici, fille polie,","et écoute mon discours, et dit: Approche-toi, fille bienveillante, et donne-moi l'audience à mon discours."
Riguardati se•ttu sè punto bella!».,"Regarde si tu es toujours belle !""",Regardez-vous-même si vous êtes toujours attirant!
Alor Bellacoglienza più non tarda:,Alors Bellacoglienza ne tarde plus:,"Dans ce cas, Bellacortesia ne tarde plus."
"In mantenente lo spechi’ebe in mano,","il tient le miroir dans sa main,",vous tenez le miroir
Si vide il viso suo umile   e piano;,on voit son visage humble et simple;,vous voyez son visage humble et modeste.
Per molte volte nello spechio guarda.,Plusieurs fois dans le miroir regarde,Plusieurs fois dans le miroir regarde
"La Vechia, che ll’avea presa en sua guarda,","La vieille qui l'avait gardée,","Il la traitait avec amourLa personne âgée qui l'avait prise en charge, la traitait avec affection."
"Le giura e dicie: «Per lo Dio sovrano,","elle lui jure et lui dit: ""Pour le Dieu souverain,","""Pour le Souverain Suprême, je promets..."
"Ch’unquanche Isotta, l’amica Tristano,","qu'Isotta, l'amie de Tristan,","soit heureuse qu'Iseotte, l'allié de Tristan, soit heureuse"
"Come tussè, figluola mia gientile.",Comme tu es ma gentille fille.,Comme tu es ma gentille fille.
"Or convien che•ttu abie il mi’ consiglio,",Tu ferais mieux d'avoir mon conseil.,"Maintenant, il faut que tu prennes en considération ma suggestion."
Che cader non potessi in luogo vile.,pour ne pas tomber dans un lieu vile.,pour ne pas tomber dans un état déshonorant.
"Se non sai guar’, i’ non mi maraviglio,","Si tu ne sais pas guérir, je ne suis pas surpris,","Si tu ne peux pas guérir, je ne suis pas surpris."
"Ché giovan uon non puot’esser sottile,","parce qu'un jeune homme ne peut être intelligent,",Pourquoi un jeune homme ne peut - il pas être aigu?
"Chéd i’, quanto più vivo, più asottiglio.","Car moi, plus je vis, plus je m'affinerai.","À mesure que je passe plus de temps en vie, je me perfectionne."
"Figluola mia, cortese ed insegniata,","Ma fille, polie et instruite,","Ma fille, gentille et cultivée."
La tua gran gioia si è ancor a venire.,Ta grande joie doit encore venir.,Ton immense bonheur doit encore venir.
"Or me convien me piangier e languire,",Je ferais mieux de pleurer et de pleurer.,"Maintenant, c'est bon pour moi de me plaindre et de souffrir."
"Chélla mia sì se n’è tutta passata,","Car la mienne est passée,","Je vais devoir aller de l'avant Dès que la mienne est finie, je vais devoir continuer."
