Original,Translate_es_1,Translate_es_2
"Di gran richeza, e di mendichitade;",de la gran riqueza y de la mendicidad;,de la gran abundancia y de la necesidad.
"E dàmi del Tu’ ben sol per ragione,","y dame tu bien sólo por razón,",y concédeme tu favor sólo por causa
"Ché que’, c’à gran richeza, si oblia","Porque los que tienen gran riqueza, olvidan","a menudo han sido pobres Porque los que tienen gran abundancia, a menudo olvidan haber sido indigentes"
"Que’, che ’l criò, per lo su’ gran riccore,","Aquel que los creó, a causa de su deseo de riqueza,","Decidió destruirlos Aquel que los construyó, debido a su anhelo de abundancia, decidió derribarlos."
Di che l’anima mette in mala via.,y ponen el alma en un mal camino.,y se conducen a sí mismos en un camino incorrecto.
"Colui, cui Povertà tien in dolore,","Aquel que la pobreza mantiene en dolor,",Aquel que la miseria atormenta.
"Convien che•ssia ladrone,   o muor d’envia,","Debe convertirse en ladrón, o morir de envidia,","Debe convertirse en un villano, o morir de celos."
"O serà falsonier, o mentitore”.","o ser mentiroso, o mentiroso.""","o ser mentiroso, o falsificador"
Ancor sì non comanda la Scrittura,"Todavía, la escritura no manda","Aún así, la redacción no domina"
"Che possent’uon di corpo chegia pane,",Un hombre con un cuerpo sano para implorar el pan,un individuo con una forma física vigorosa orando por el alimento
Né che si metta a viver d’altru’ ane:,ni que viva de los bienes de los demás:,ni que alimente de las riquezas ajenas
"Questo non piacie a Dio, né non n’à cura,","Esto no le gusta a Dios y no lo cuida,",Esto no le agrada a Dios y le es indiferente.
"Né non vuol, che•ll’uon faccia sale, o mura,","ni quiere que uno construya sal o muralla,",ni desea que uno edifique sal o valla.
"De le limosine alle gient’istrane,","con las limosnas de los extraños,","Ella sobrevivió con las ofrendas de los no-familiares, logró perseverar."
"Ma vuol c’uon le diparta a giente humane,",Pero quiere que se distribuyan a personas humanas.,Pero quiere que los entreguen a personas humanas.
Di cui forza e santade à gran paura.,cuya fuerza y salud le preocupan.,Su vigor y bienestar le hacen preocupar.
"E sì difendea buono Giustiziano,","Y así protegía al buen Justiciano,",Y así custodiaba al virtuoso juez.
E questo fecie scriver nella Legie:,y escribió esto en la Ley:,Y mandó que esto estuviera escrito en la Ley.
"Che nesun dia limosina a huon sano,",Que nadie le dé limosna a una persona sana,que nadie conceda subvenciones a un individuo sano.
"Che truovi a guadagniare, e•ttu t’avegi","que es capaz de ganar, y tú mismo te das cuenta","que está en condiciones de obtener, y usted mismo comprueba"
Ch’a lavorare e’ non vuol metter mano;,que no quiere poner mano en el trabajo;,que no desea participar en el trabajo.
"Ma vuol che•ttu ’l gastighi, e cacci, e fegi.",Pero quiere que lo castigues y lo eches y lo hagas.,"Pero desea que lo castigues, y le impones que se vaya y lo obligas."
"Chi di cota’ limosine è ’ngrassato,","¿Quién se ha engordado con estas limosnas,","Ahora está pagando las consecuencias. Quien se ha comido estas subvenciones, ahora tiene que hacer frente a las consecuencias."
"In paradiso non dé atender pregio,",no esperen recompensa en el paraíso;,no esperen una gratificación celestial.
"Anzi vi dé atender gran dispregio,","Al contrario, debe esperar un gran desprecio,","En cambio, debe temer un enorme desdén."
Almen s’e’ non è privilegiato;,al menos si no es privilegiado;,al menos si no tiene ventaja
"E s’alcun n’è, sì n’è fatto, ingannato","Y si alguien lo es, ha sido engañado.","Si alguien ha sido engañado, que así sea."
"È ’l Papa, che li dié il su’ Colegio,","del Papa que le dio su privilegio,",de la autoridad papal que le ha concedido su privilegio
Ché dar non credo doveria privilegio,Porque no creo que debamos dar privilegios,Porque no creo que debamos dar ventajas.
C’uon sano e forte gisse mendicato: ,a una persona sana y fuerte que vive de limosnas.,A una persona robusta y vigorosa que existe de caridad.
"Ché•lle limosine, che sono donate",Por qué las limosnas que son donadas,?¿Por qué se ofrecen las limosnas?
"A’ vechi, o magagniati san’ posanza,","a los ancianos o a los enfermos sin fuerzas,","la bondad es una gran medicina a los viejos o a los enfermos débiles, la bondad es una gran cura"
"A chui la morte seria gran santate,","para los cuales la muerte sería una gran bendición,",para los cuales la muerte sería una gran gracia.
"Colui, che•lle manuca, i’ l’ò ’n gravanza:","El que las utiliza, le considero una carga:",La gente que las usa cree que es una carga.
Elle gli fieno ancor ben pagate.,Aún estarán bien pagados.,Aún estarán bien remunerados.
Di questo non bisognia aver dottanza.,Esto no requiere conocimiento.,Esto no necesita familiaridad.
"Tanto quanto Gesù andò per terra,","Tanto como Jesús anduvo en la Tierra,","Podemos caminar en la luzTanto como Jesús se movió sobre la tierra, podemos avanzar en la luminosidad."
I suo’ disciepoli e’ non dimandaro,sus discípulos no preguntaron,Sus seguidores no preguntaron más
"Né pane, né vino, anzi il guadagniaro","Ni pan, ni vino, sino que ganaron","Sin embargo, la comida, ni siquiera la bebida, llegaron a conocerse."
"Co•le lor man, se•llo non erra.","Con sus manos, sin equivocarse.","Con sus manos, sin error."
"Co’ buon’ mastri divin’ ne feci guerra,","He luchado contra los buenos maestros divinos,",He luchado contra los sabios maestros divinos.
Perch’e’ questo sermone predicaro,por qué predicaron esta enseñanza,por qué esparcieron esta lección
"Al popolo a Parigi, e sì ’l provaro",a la gente en París y lo probaron,a los ciudadanos de París y lo atestiguaron
"C’uon, ch’è truante, col Diavol s’aferra.",que uno que vive de limosnas se une con el Diablo.,que uno que vive de caridad se alia con el diablo.
"Ancor, po’ che Giesù si tornò in cielo,","De nuevo, después que Jesús regresó al cielo,","De nuevo, después de que Jesús ascendió al paraíso,"
San Paolo predicava i conpagnioni,San Pablo predicaba a sus compañeros,San Pablo exhortaba a sus amigos
"Ched e’ sì non vendeser lo,","que no vendían nada,",que no ofrecieran ninguna mercancía.
"Sì ch’e’ di grazia fecier lor sermoni,","para que sus discursos fueran de gracia,",para que sus discursos fueran agradables.
"Di lor lavor vivieno, già no ’l vi cielo,","vivieron de su trabajo, sin esperar nada del cielo,","vivieron de su obra, sin esperar nada de lo alto."
"Sanza fondar castella, né magioni.",sin construir castillos o casas grandes.,sin edificar manieres o mansiones extensas.
"Ver è ch’e’ ci à persone ispeziali,","Es cierto que hay gente especial,","Pero todos somos únicos Es cierto que hay personas excepcionales, pero todos somos singulares."
"Che van cherendo lor vita per Dio,","que viven su vida por Dios,",que viven su existencia para Dios
Per ch’i’   vi dico ben c’al parer mio,"Por eso os digo que, en mi opinión,","Por eso les digo que, en mi opinión,"
Egli è mercié far   bene a que’ cotali.,Merece la pena hacer el bien a esta gente.,Es digno de alabanza ofrecer un servicio a estas personas.
"Di questi sono alquanti bestiali,",Son bastante ignorantes.,"De ellos, son bastante incultos."
"Che non ànno iscienza in lavorio,","y no tienen ningún conocimiento del trabajo,",Y no tienen ni idea de la tarea.
"Ed altri v’à, che l’ànno, ma è rio","y otros que la tienen, pero es río","Otros la poseen, pero es valioso."
"Il tenpo, e lor guadagni sì son frali.",El tiempo y sus ganancias son frágiles.,Sus riquezas y el período son efímeros.
"À ’ncor di gientil giente discacciata,",Aún hay gente amable que ha sido expulsada.,Aún hay gente amigable que ha sido alejada.
"Che non son costumati a lavorare,","que no están acostumbrados a trabajar,",que no están familiarizados con el trabajo
Ma son viuti sol di lor entrata.,Vivir solo con sus ingresos.,existir sólo con sus propios ingresos.
"A cota’   gienti dé ciascun donare,","A esta gente es justo donar,",A estas personas se les debe conceder.
Ché lor limosina è bene inpiegata:,porque su limosna está bien gastada:,porque su caridad está bien atropellada
Si è mercié atarli   governare.,Es justo gobernarlos.,Es correcto administrarlos.
"Ad alcun altro, che•ffa lavoraggio,",Alguien que trabaja.,"Alguien más, haciendo trabajo."
"Ma ben sua vita trar non ne poria,",pero no podían sobrevivir solos;,Pero no podían existir por sí mismos.
"Sì gli consente Idio ben truandia,","Dios les permite vivir de limosna,",Dios les permite vivir de la caridad.
"Per quel, che gli falliscie al su’ managio;",a causa de lo que le falta para vivir;,Por su falta de sustento.
"Od altro povero, c’avesse   coragio",o para otros pobres que tienen el valor,para otros miserables que tienen el atrevimiento
"Di volere studiar   in chericia,","Querrás estudiar en quiricato,",de anhelar asistir a un seminario.
Gran mercied’è a farli cortesia,es una gran caridad ayudarlos,es una gran bondad ayudarlos
Insin ch’e’ sia   de la scienza sagio;,hasta que lleguen a ser sabios en el conocimiento;,hasta que adquieran sabiduría en la sabiduría.
E se ’n cavalleria   alcun volesse,Y si alguien quisiera la caballería,y si alguien quiere heroísmo
"Intender per la fede asealzare,",hasta que pudiera cabalgar bien y tener las armas,Adecuado hasta que pudo montar a caballo hábilmente y disponer de las armas adecuadas
"Non falleria   già, sed e’ chiedesse","no se equivocaría al rogar,",no se equivocaría en suplicar.
"Infin ch’e’ sé potesse   ben montare,","hasta que pudo acumular,",hasta que tuvo la oportunidad de acumular
E avere spezieria   ch’e’ potesse,y tener el capital necesario con el cual,financiar y disponer de los fondos necesarios para financiar
Conduciersi nella terra d’oltremare».,viajar a la tierra de ultramar,explorar en la tierra de ultramar
"«Dì, Falsenbiante, in che maniera puote","Dime, Falsenbiante, ¿cómo puede","Exclama, Falsenbiante, ¿cuál es la manera de hacerlo?"
"Seguire Idio chi à tutto venduto,","seguir a Dios, que lo vendió todo","lo que tenía que adaptarse a la voluntad de Dios, el cual cedió todo lo que poseía"
"Ed àllo tutto a’ pover’ dispenduto,",y gastó todo en los pobres,y lo disipó todo para los desafortunados
"E le sue borse son rimase vote,","y sus bolsillos están vacíos,",y sus bolsas no tenían contenido.
"Ed è forte, e possente, e à grosse gote?",¿Y él es fuerte y poderoso y con grandes mejillas?,¿Y él es vigoroso y fuerte y tiene mejillas prominentes?
Gli sarebe per dritto concieduto,Se le concedería el derecho,Se suponía que debía hacerlo como su derecho.
"C’a trar sua vita domandasse aiuto,","para pedir ayuda para levantar su vida,",pedir un apoyo para elevar su existencia.
"Come quest’altri, che•ttu or mi note?».",¿Como estos otros que me has enseñado ahora?,¿Como los otros a los que ahora me has apuntado?
«Dico di no: che se Dio fe’ comando,"""Digo que no: si Dios ha dado el mandato",", entonces no podemos desobedecer.Exprimo un rechazo: si Dios ha dado la orden, entonces no podemos transgredir."
"C’on desse tutto a’ poveri, e po’ ’L sieva,","para dar todo a los pobres, y luego para sembrar","distribuir todo a los menos ricos, y luego esparcir"
"La Sua ’ntenzion non fu in truandando,","Su intención no era robar,","pero tomar su intención no era restar, sino adquirir"
"E questo intendimento ti ne lieva,","y esta intención te libera,",y esta aspiración te emancipa
"Ma con buon’opere tuttor lavorando,","pero con buenas acciones siempre operando,",con buenas obras que se llevan a cabo constantemente
C’uon forte in truandar l’anima grieva.,se evita cargar el alma con el robo.,se evita afligir el ánimo con el robo.
"Ancor una crudel costuma abiamo,",Todavía tenemos una cruel costumbre:,Todavía fomentamos una tradición brutal.
Contra cui no’ prendiamo   la nimistade:,contra la cual no tomamos la hostilidad:,Contra la que no manifestamos enemistad.
"Quanti no’ siamo,   in buona veritade,","Cuántos somos nosotros, en buena verdad,","De hecho, ¿cuántos somos nosotros?"
In difamarlo noi ci asottigliamo;,Nos reducimos a difamar.,Nos rebajamos a denigrar.
"E se, per aventura, noi sapiamo","Y si, por casualidad, sabemos","Y si, por desgracia, conocemos"
"Com’e’ possa venire a dignitade,","cómo puede venir a la dignidad,",¿Cómo puede ganarse el respeto?
"Nascosamente noi facciàn   tagliate,","Escondidamente lo cortamos,",Actuamos en secreto para reducirlos.
Sì che di quella via noi ’l ne gittiamo.,para que lo echemos de ese camino.,Para alejarlo de ese camino.
"E ciò facciamo   noi sì tracielato,",Y lo hacemos tan sutilmente.,Lo hacemos tan sigilosamente.
"Ch’e’ non saprà per chui l’avrà perduto,","que él no sabrá de quién la perdió,",Que él no será consciente de quién la haya perdido.
Infin ch’e’ non ne fia di fuor gittato;,hasta que sea expulsado;,Hasta que lo expulsan.
"Ché, s’e’ l’avese da prima saputo,","Porque si lo hubiera sabido al principio,","Podría haber tomado una decisión diferente porque, si lo hubiera sabido antes, podría haber tomado otra decisión."
Per aventura e’ si saria scusato,Tal vez se hubiera disculpado.,Podría haber expresado un arrepentimiento.
Sì ch’i’ ne saria menzonier tenuto».,para que no tuviera que mencionarlo.,de tal manera que no tengas que citarlo.
"«Cotesta mi par gran dislealtate»,",Eso suena muy deshonesto.,Esto me parece una gran falta de honradez.
"Rispose Amore, «Or non credi tu ’n Cristo?».","Amor respondió: ""¿No crees tú en Cristo?","El amor respondió: ""¿No tienes fe en Cristo?"
"«I’ non, chéd e’ sarà pover, e tristo","Yo no, porque será pobre y triste","Yo no, porque será sórdido y melancólico."
"Colu’, che viverà di lealtade,",El que vivirá de lealtad,El que vivirá con integridad.
"Sì ch’io non vo’ per me quelle ghignate,",Tanto que no quiero esa risa para mí.,Tanto que no quieres tener esa risa para mí.
"Ma, come ched i’ possa, i’ pur aquisto,","Pero, ¿cómo puedo comprar?","Pero, ¿cómo puedo comprar?"
Ché da nessun nonn-è volontier visto,porque nadie quiere ver,ya que nadie desea a buen grado observar
"Colui, che man terrà di Povertate,","el que tiene fe en la pobreza,",Aquel que observa la Miseria.
"Anzi l’alunga ciascuno, ed incaccia,","Al contrario, cada uno lo aleja y lo caza,",Pero cada uno lo aleja y lo expulsa.
"Già no•lli fia sì amico, né parente,","nunca será amigo de él ni pariente,",Nunca será amigo de él ni amigo de él.
Ch’egli il vega volontieri in faccia.,Que lo vea voluntariamente en la cara.,que se le presente espontáneamente cara a cara.
"Sì ch’i’ vogl’anzi c’on mi sia ubidente,","Tanto que quiero que sea obediente,",Tanto como yo deseo que sea obediente a mí.
"Come ch’io a Cristo   ne dispiaccia,",como a Cristo lo siento,cómo desagrada a Cristo
Ched eser in servagio della giente.,Estar al servicio de la gente.,estar a disposición de la población.
"Vedete che danari ànno usorieri,",¿Ven el dinero que tienen los usureros?,Fíjese en cuánto dinero tienen los prestamistas de dinero.
"Siniscalchi, e provosti, e piatitori,","los siniscales, y los provostos, y los petidores,","Siniscalculados, protectores y solicitantes"
Che tutti quanti son gran piatitori:,que todos son grandes petidores:,que todos son grandes suplicantes
"E’ si son argogliosi molto, e fieri.",Y están muy orgullosos y orgullosos.,y están muy contentos y orgullosos.
"Ancor borghesi, sopra i cavalieri,","Incluso los burgueses, sobre los caballeros,","También los ciudadanos, superiores a los nobles, gozaban de prerrogativas especiales."
Son ogi tutti quanti venditori,Son todos vendedores.,Todos ellos son comerciantes.
"Di lor derrate, e aterminatori,","sus productos y aterrizadores,",de sus bienes y medios de transporte
"Sì c’ognie gientil huon farà panieri,","tanto que cada caballero hará sándwiches,",Hasta el punto de que cada caballero hará cestas
"E’ conviene, ch’e’ vendan casa o terra",es necesario que vendan casas o tierras,es indispensable que cedan viviendas o propiedades
"Infin che i borghesi siar pagati,","hasta que se pague a los burgueses,","No habrá paz hasta que los capitalistas sean compensados, no habrá serenidad"
Che giorno e notte gli tegnono in serra.,que los mantienen en invernaderos día y noche.,que los guardan en una habitación climatizada día y noche.
"Ma io, che porto panni devisati,","Pero yo, que llevo ropa podrida,","Pero no puedo entrar, que llevo ropa desgastada, no puedo acceder."
"Fo creder lor che ciascheun sì erra,",Les hago creer que todo el mundo está equivocado.,les hace pensar que cada persona comete errores.
E ’nganno ingannatori   e ingannati.,y engaño tanto a los engañadores como a los engañados.,comprobar tanto a los estafadores como a las víctimas.
"Chi se ’n vuol adirar, sì se n’adiri,","¿Quién quiere enojarse, que se enoje,","Quien quiera enfadarse, que se enfade."
"Chéd i’ vi pur conterò ognie mio fatto,","Porque os contaré todos mis hechos,",Porque voy a difundir cada uno de mis episodios.
"S’i’ dovess’eser istrutto intrafatto,","Si tuviera que ser educado en el fondo,",Si tuviera que ser educado a fondo.
"O morto, a torto, com’ furo i martìri,","o muerto, injustamente, como los mártires,","Deceased, unfairly, like the saints"
"O discacciato,   com’e’ fu ’l buon siri","o arrojado, como fue el buen señor","cómo fue el buen señor, o expulsado"
"Guillermo, che di Santo Amor fu stratto,","Guillermo, que de Santo Amor fue arrastrado,","Guillermo, que fue abrumado por el ardor santo,"
"Così ’l conciò la mogle di Baratto,","Y le dio la mujer de Baratto,","De este modo, la consorte de Baratto lo preparó."
Però ch’e’ mi ronpea   tutti mie’ giri;,Porque él me rompió todas mis vueltas.,Porque él interrumpía todos mis planes.
"Chéd e’ sì fu per lei sì discacciato,","porque él fue tan expulsado por ella,",Porque él fue tan alejado por ella.
"E sol per verità, ch’e’ sostenea,","y sólo por la verdad que sostenía,",y sólo por la lealtad que profesaba
Ched e’ fu del reame isbandegiato.,que fue desterrado del reino.,que fue exiliado del reino.
"De mia vita fe’ libro, e sì legiea","Hizo un libro de mi vida y lo leía,",Compuso un volumen sobre mi existencia y lo leyó.
Ch’e’ non volea   ch’i’ gisse mendicato:,que no quería que viviera mendigando;,Que no quería que existiese haciendo la vida de un vagabundo.
Verso mia madre troppo misprendea!,¡Mi madre tenía muy poca consideración!,¡Mi madre tenía una evaluación insuficiente!
Questo buonuon volea ch’i’ rinegasse,Este buen hombre quería que yo renegara.,mi fe Este caballero quería que negara mi religión
"Mendichità e gisse lavorando,","la mendicidad y yo vivía trabajando,",la pobreza y yo permanecía operando.
S’i’ non avea che mia vita passando,Si no tuviera mi vida pasar,"Si no tuviera mi vida, pasaría las horas divirtiéndome."
"Potesse, sanza c’altro domandasse.","Podría, sin pedir nada más.","Podría, sin pedir nada más."
A quel consigl’io mai no•m’acordasse:,Nunca me adapté a ese consejo.,Nunca seguí esa recomendación.
Tropp’è gran noia l’andar travagliando.,Demasiado aburrido es ir trabajando.,Un exceso de monotonía acompaña el ir al trabajo.
"Megl’i’amo star davante adorando,","Prefiero estar delante de la adoración,","Prefiero estar en primera línea, venerando."
Ched i’ a lavorar ma’ faticasse;,En lugar de cansarme trabajando.,En lugar de fatigarme trabajando.
Ché ’l lavorar sì no•mi può piaciere,"que trabajar, porque el trabajo no me gusta","que trabajar, porque el oficio no me gusta"
"Néd a•cciò consentir no•mi poria,","y nunca podría estar de acuerdo con eso,",Y nunca podría estar de acuerdo.
Ché molte volte fallarei in dolere.,Porque muchas veces fallaría en el dolor.,Porque muchas veces me destrozaría en la aflicción.
Più amo il manto di Papalardia,"Prefiero llevar la capa de Papalardia,",Prefiero llevar la capa de Papalardia.
"Portar, per ciò ch’egl’è magior savere,",Porque es lo mejor que podemos hacer.,ya que es la opción más adecuada a emprender
Ché di lui cuopr’io mia   gran rinaldia.,Porque con él cubro mi gran maldad.,Porque gracias a él mascaré mi gran astucia.
"I’ sì nonn-ò più cura d’ermitagi,","Ya no tengo cuidado de vivir como ermitaño,","Pero quiero compartir mi vida con alguien que ya no quiero ser un solitario, pero quiero compartir mi existencia con alguien."
"Né di star in diserti, né ’n foresta,","ni estar en lugares desiertos ni en el bosque,",ni frecuentar ambientes desolados o boscosos.
Ch’e’ vi cade sovente la tenpesta.,Porque a menudo nos cae la tormenta.,Porque a menudo la tormenta se derriba.
"S’i’ chito a San Giovanni que•bboscagi,","Si me establezco en San Giovanni, en el bosque,","Si me arraigo en San Juan, en el bosque."
"In cittadi, e ’n castella fo mie’ stagi","Hago mis paradas en la ciudad y en castillos,",Hago mis viajes a la ciudad y a las fortalezas.
Mostrando ched i’ faccia vita agresta;,"Mostrando vida agraciada,",Demostrando que vives una vida campestre.
"Ma, s’alla villa buon morsel s’aresta,","Pero si hay una buena comida en la villa,","Entonces vámonos. Si hay un buen banquete en la mansión, nos vamos."
E’ pur convien per forza ch’i’ n’asagi.,Tienes que probarlo.,Es indispensable que lo pruebes obligatoriamente.
E vo diciendo ch’i’ vo’ fuor del mondo,"Y tú dices que quiero salir del mundo,","Pero yo quiero quedarme y tú afirmas que deseo abandonar el universo, pero yo prefiero permanecer"
"Per ch’i’ mi giuochi in sale e in palazi,","para divertirme en sal y en palacios,",para jugar en los locales y en las mansiones.
"Ma, chi vuol dire vero, i’ mi v’afondo,","Pero quien quiera decir la verdad, me hundo,","Pero quien quiera decir la verdad, me sumergiré."
"S’i’ posso trovar via d’aver grand’agi,",Si puedo encontrar una manera de tener grandes alegrías,Si puedo encontrar una manera de conseguir una gran felicidad.
Or siate cierto ch’i’ no•mi nascondo,Ahora asegúrate de que no me escondo.,"Ahora, asegúrate de que no me escondo."
"Ancor, s’i’ m’intrametto in far   mogliazo,","Aunque me involucre en la organización de bodas,","Es algo que me gusta incluso si tomo parte en el arreglo de bodas, es algo que me gusta."
"Altr’or fo paci, altr’or sì son sensale,","otras veces hago las paces, otras veces soy intermediario,","En otras ocasiones soy una fuente de consuelo Otras veces me reconcilio, otras caras hago el papel de mediador, otras veces ofrezco alivio."
"Manovaldo mi fo, ma quel cotale,","Me hago manoval, pero eso es lo que hago.","Lo que realmente quiero hacer es convertirme en empresario, como trabajador manual, pero lo que realmente deseo hacer es ser empresario."
"Che mi vi mette, l’abiate per pazo","Que me pone ahí, que la tienen por loco.","Que me ponga en ello, que la tengan como una locura."
"Ché de’ suo’ beni i’ fo torre, e palazo,","Porque de sus bienes hago torres y palacios,",Porque de sus posesiones construyo fortalezas y castillos.
"Over be’ dormitori, o belle sale;","oh bellos dormitorios, oh bellas sal;","Alojamiento encantador, o habitaciones maravillosas."
"Sì che, s’egli à figluol, poco gli vale:","de modo que, si tiene un hijo, le vale poco:","para que, si tiene un bebé, no sea de gran valor."
I ben’ del padre sì ’l te ne rispazo.,Le quitaré las pertenencias de su padre.,Las riquezas de los padres son sustraídas.
"E, se voi aveste nulla cosa a fare,","Y si tienen algo que hacer,","Hazlo si tienes una tarea, llévalo a cabo."
"Intorno di colui, con ch’i’ riparo,","alrededor de con lo que me relaciono,",alrededor de lo que interactúo
"Diràllami, faròlla capitare.","Díganmelo, lo haré pasar.",Díganmelo a mí. Haré que esto sea posible.
Ma non convien mostrar   ch’e’ vi si’ amaro,Pero no es bueno mostrar que estás amargado.,Pero no es mejor demostrar que eres asqueroso.
"A larga mente sapermi donare,","en gran medida saber darme,","con un amplio entendimiento, saber ofrecerme."
Ché ’l mi’ servigio i’ ’l vendo molto caro.,Porque mi servicio lo vendo muy caro.,Porque mi producto lo pongo a un precio alto.
"I’ sì son de’ valletti d’Antecristo,","Yo soy uno de los valet de Anticristo,",Soy uno de los sirvientes de Anticristo.
"Di quel’ ladron’, che dicie la,","de ese ladrón que dicen,","Es un experto en el malvado que se dice, es hábil."
"Ch’e’ fanno molto santa portatura,","que hacen un porte muy santo,",que traen un aire de gran santidad.
E ciaschedun di loro è ipocristo.,Y cada uno de ellos es un hipócrita.,Y cada uno de ellos es un fingidor.
"Agniol pietoso par, quand’uon l’à visto,","Parece un cordero triste cuando lo ves,",Parece una oveja mansa cuando lo observas.
Di fora sì fa dolze portatura,Afuera se hace una portación dulce,Afuera se hace una bondad dulce.
"Ma egli è dentro lupo, per natura,","Pero está dentro de un lobo, por naturaleza,","traicionero está dentro de un lobo, por naturaleza, elegante"
Che divora la giente Giesocristo.,que devora a la gente de Jesucristo.,que explota a la gente de Jesucristo.
"Così abiamo inpreso mare e terra,","Así que tomamos el mar y la tierra,","Así que nos hemos enfrentado a ambos elementos, mar y tierra."
E sì facciàn per tutto ordinamento:,y ordenamos en todas partes:,Volvemos a todos lados.
"Chi no•l’oserva, diamo c’a fede erra.","quien no lo observa, le dañamos con error de fe.","quien no lo considera, lo condenamos de manera errónea por falta de devoción."
"Tanto facciamo co•nostro tradimento,",Hagamos lo que hacemos con nuestra tradición.,"De todos modos, hacemos lo que hacemos."
"Che tutto ’l mondo à preso co•noi guerra,","que todo el mundo ha estado en guerra con nosotros,",que toda la tierra ha luchado contra nosotros
Ma tutti gli mettiamo a perdimento.,Pero todos los arruinamos.,Pero los destrozamos a todos.
"Sed i’ truovo in cittade o in castello,","Pero si lo encuentro en la ciudad o en el castillo,","Si descubro en la ciudad o en la fortaleza,"
"Colà ove paterino sia riparato,","donde el padre es refugiado,","El hijo es exiliadoDonde el padre ha encontrado refugio, el hijo es un refugiado."
"Credente ched e’ sia o consolato,","Creyendo que es consolado,","lloróCreyendo que era consolado, derramó lágrimas."
"Od altr’uon, ma’ ch’e’ sia mio ribello,","o a otro, pero sea mi rebelde,","Otro, pero que sea mi recalcitrante."
"O prete ched e’ sia, o chericiello,","o un sacerdote, o un clérigo,","o un pastor O un sacerdote, o un clérigo, o un ministro"
"Che tenga amica, o giolivo parlato,","que tenga amigas, o hable alegremente,",Ya sea sociable o alegre.
"E’ convien ch’e’ per me sia gastigato,","y es mejor que me castiguen,",Será mejor que me castiguen.
"Ché ciaschedun mi dubita, sì son fello.","Porque todo el mundo me teme, soy tan malo.","Porque todo el mundo me teme, soy tan malvado."
"Ancor gastigo altressì usurai,","También castigo a los usureros,","ellos son deshonestos También castigan a los usureros, ellos son fraudulentos."
"E que’ che sopravendono a credenza,","y los que superan la creencia,",Y los que desafían al dogma.
"Roffiane, et forziere, e bordelai.","Los ladrones, los forzadores y los burdeles.","Los malhechores, los ladrones y las casas de tolerancia."
E ’n ciascuno i’ ò malivoglenza;,Y en cada uno tengo mala alma;,Y en cada uno tengo aversión.
"Ma che che duolo tu senti, no ’l dirai,","Pero cualquier dolor que sientas, no lo dirás,","Pero cualquier aflicción que adviertas, no vas a expresarla, ¿verdad?"
Sì fortemente dotti mia sentenza.,Mi sentencia es tan fuerte.,Esa es mi decisión con fuerza.
"Que’, che vorrà canpar del mi’ furore,","Lo que quiera comprar de mi ira,","Pagará lo que quiera comprar de mi ira, lo sustentará."
Eco qui preste le mie difensioni:,Aquí están mis defensores:,Aquí están mis abogados.
"Grosse lanprede, over di gran salmoni","grandes anguilas, o de grandes salmón,","grandes peces torpedos, o grandes salmón"
"Aporti, lucci, sanza far sentore,","Luci, sin hacer ruido,","Stirelucci en silencio, moviéndose furtivamente."
"La buona anguilla nonn-è già pegiore,","la buena anguila ya no es peor,",la anguila sana no es ya inferior.
"Alose, o tinche, o buoni   storioni,","alose, o tintorerías, o buenos esturiones,","o carpas Además de las alosas, los tintos, los buenos esturión y las carpas están presentes en el estanque."
"Torte battute, o tartere, o fiadoni:","pasteles bromados, tartas o cuentos de hadas:","Crustáceas desmenuzadas, trufas o habichuelas"
Queste son cose d’aquistar mi’ amore.,Estas son cosas para comprar mi amor.,Estas son cosas para comprar mi afecto.
"O s’e’ mi manda ancor grossi cavretti,","O si me envía grandes cabritos,","Yo no los niego si me envía grandes cabritos, yo no los rechazo."
"O gran capponi   di muda be nodriti,","o grandes capones de reciente crecimiento,",jóvenes y desarrollados gallos
"O paperi novelli, o coniglietti.","O papas nuevas, o conejitos.","o pollitos frescos, o liebres."
"Da ch’e’ ci avrà di ta’ morse’ serviti,","Desde que los sirvió con esas bocas,",Desde que los sirvió con esas sonrisas.
No gli bisognia di far gran disdetti:,No tendrá que hacer grandes rencores:,No le servirá de nada hacer grandes maldades.
"Dica ch’è guoco, e giuoca a tutti ’nviti.","Di que es un juego, y juegas con todos los invitados.",Afirma que es divertido y entretienes a todos los invitados.
"Que’, che non pensa d’aver l’armadure,","El que no cree que tiene armadura,","No está preparado lo que no cree que posee las protecciones, no está listo."
"Ch’i’ v’ò contate, over preziosi vini,","que enumeré, o vinos preciosos,","que he listado, o vinos de calidad"
"Over di be’ sachetti di fiorini,","o bonitas bolsas de florines,",magníficas bolsas de monedas
Le mie sentenze   lor fier troppo dure.,Mis sentencias serán demasiado duras para ellos.,Mis sanciones serán demasiado estrictas para ellos.
"Né non si fidi già in ,","Y no se fía ya,",Y ya no se puede confiar en él.
"Ch’e’ saccian, ché, co•mie’ mastri divini,","que saben, porque, como mis divinos maestros,","Que conocen, porque, como mis venerables maestros."
"I’ proverò ched e’ son paterini,","Voy a probar que son padres,",Demostraré que son padres.
"E farò lor sentir le gran calure,","Y les haré sentir las grandes llamas,",Y haré que sientan las vampiras inmensas.
"Od i’ farò almen ch’e’ fien murati,","o al menos haré que los albañiles,",o al menos haré que los encierren.
